Fold,n_train,n_test,n_features,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LogisticRegression,0.743801652892562,0.6363636363636364,0.6363636363636364,0.7642262965792378,0.6,0.8181818181818182,0.6923076923076923,0.45454545454545453,0.7083950617283951
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_RBF,0.7272727272727273,0.6818181818181818,0.6818181818181818,0.7559865573023468,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.7083950617283951
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_Linear,0.7520661157024793,0.6818181818181818,0.6818181818181818,0.7701542078336336,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.7083950617283951
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",RandomForest,0.8677685950413223,0.7727272727272727,0.7727272727272727,0.854335815699452,0.6875,1.0,0.8148148148148148,0.5454545454545454,0.5883333333333334
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",GradientBoosting,0.8099173553719008,0.5,0.5,0.7567460317460317,0.5,1.0,0.6666666666666666,0.0,0.5819230769230769
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",ExtraTrees,0.8016528925619835,0.6363636363636364,0.6363636363636364,0.7840890104047998,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.36363636363636365,0.5883333333333333
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",KNN,0.6694214876033058,0.6818181818181818,0.6818181818181818,0.6913419913419914,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.6651851851851852
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",NaiveBayes,0.628099173553719,0.5,0.5,0.6601006242717473,0.5,1.0,0.6666666666666666,0.0,0.6607692307692308
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",XGBoost,0.743801652892562,0.5909090909090909,0.5909090909090908,0.7404509491196797,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.2727272727272727,0.6158024691358024
1,92,22,20,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LightGBM,0.7685950413223139,0.5909090909090909,0.5909090909090909,0.8183978825690055,0.5625,0.8181818181818182,0.6666666666666666,0.36363636363636365,0.5201234567901234
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LogisticRegression,0.5583333333333333,0.4782608695652174,0.5125,0.7906688308774725,0.6666666666666666,0.4,0.5,0.625,0.7496969696969696
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_RBF,0.5499999999999999,0.6521739130434783,0.5583333333333333,0.7570696383080284,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.25,0.5434920634920635
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_Linear,0.55,0.6086956521739131,0.5541666666666667,0.6938133451752377,0.6875,0.7333333333333333,0.7096774193548387,0.375,0.5514285714285715
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",RandomForest,0.525,0.5217391304347826,0.4875,0.6669980432364333,0.6428571428571429,0.6,0.6206896551724138,0.375,0.6709090909090909
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",GradientBoosting,0.6499999999999999,0.5652173913043478,0.49166666666666664,0.8326306296043138,0.6470588235294118,0.7333333333333333,0.6875,0.25,0.6890909090909091
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",ExtraTrees,0.6000000000000001,0.5217391304347826,0.5166666666666666,0.8044967793880837,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.5,0.63
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",KNN,0.6333333333333333,0.6086956521739131,0.5541666666666667,0.744081605528974,0.6875,0.7333333333333333,0.7096774193548387,0.375,0.6012121212121212
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",NaiveBayes,0.7333333333333333,0.782608695652174,0.6875,0.7757761519526225,0.75,1.0,0.8571428571428571,0.375,0.489090909090909
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",XGBoost,0.725,0.7391304347826086,0.7125,0.8342055021002389,0.8,0.8,0.8,0.625,0.5514285714285714
2,91,23,20,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LightGBM,0.4291666666666667,0.4782608695652174,0.425,0.647279137084629,0.6,0.6,0.6,0.25,0.6315151515151515
3,93,21,20,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LogisticRegression,0.787037037037037,0.8095238095238095,0.8055555555555556,0.680599647266314,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.6711764705882353
3,93,21,20,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_RBF,0.8240740740740741,0.7619047619047619,0.7638888888888888,0.8253579209461563,0.7,0.7777777777777778,0.7368421052631579,0.75,0.7409649122807017
3,93,21,20,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_Linear,0.8148148148148149,0.7142857142857143,0.7361111111111112,0.691710758377425,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5833333333333334,0.7038095238095238
3,93,21,20,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",RandomForest,0.75,0.6190476190476191,0.6388888888888888,0.6522788452613014,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5,0.7276190476190476
