Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
LightGBM,0.7671242500189869,0.1146206119921728,0.72,0.8015369954572993,0.0998031560658977,0.7783227859224924,0.6517048169222083,0.0610924896206281,0.6491228070175439,0.6676892990050886,0.0690518001822432,0.6481250000000001,0.7018181818181819,0.1104360320255293,0.7,0.6866772993088783,0.1406589404993958,0.65625,0.6773593073593073,0.0548766144549772,0.6774193548387096,0.6487012987012987,0.1185815354728005,0.64,13.2,13.2,5.1536394906900505,6,16.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,35,4,1.8857142857142857
XGBoost,0.7624075454936698,0.1152148437171988,0.665625,0.8213414604480235,0.0832156537148026,0.7181131578024202,0.5916561699170394,0.0809017722831249,0.5877192982456141,0.6198902559428875,0.0827895072021257,0.5825,0.6549131424131425,0.1201341758582944,0.6349206349206349,0.6789580010632642,0.1947758736043282,0.625,0.6340992340992341,0.0691039158726739,0.6299212598425197,0.5608225108225108,0.164069264069264,0.54,13.2,13.2,5.1536394906900505,6,16.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,35,4,1.8857142857142857
XGBoost,0.7343729732964184,0.0778942388490436,0.6528125,0.8109217320899136,0.0658545728842707,0.729139911984668,0.5924394446133576,0.0924624941985771,0.5877192982456141,0.6217124250018986,0.0714712251024084,0.5825,0.6526917526917526,0.143510422157772,0.6349206349206349,0.6742690058479532,0.2494383417553856,0.625,0.6212575031165736,0.1261840518259664,0.6299212598425197,0.5691558441558442,0.1660472269120687,0.54,13.6,13.6,4.079215610874227,8,14.0,18,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,52,3,1.3076923076923077
LogisticRegression,0.7133166133883837,0.0668063267231617,0.6737500000000001,0.7729798906380031,0.0885080961556389,0.7034032425936037,0.5989532206923511,0.0630529033355354,0.5964912280701754,0.6405648591174907,0.0626925910296163,0.6078125,0.7207251082251082,0.1703623058336691,0.6875,0.5500691121743754,0.2048785240269874,0.515625,0.5812075941487705,0.0946675705516824,0.5892857142857143,0.7310606060606061,0.2156630708928252,0.7,13.6,13.6,4.079215610874227,8,14.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,52,3,1.3076923076923077
LightGBM,0.6934676337307917,0.0982448501312553,0.6050000000000001,0.7484258155634047,0.1440151298152677,0.6916361021799446,0.5628646715603237,0.0716654098059602,0.5614035087719298,0.5919755828966355,0.0651715275008156,0.5634375,0.6381652661064425,0.1681794676563688,0.625,0.5769165337586389,0.2193717001012575,0.546875,0.5698326301906864,0.1240624135758794,0.5833333333333334,0.607034632034632,0.1973660443107221,0.58,15.6,15.6,2.33238075793812,12,16.0,18,corr_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,61,4,1.278688524590164
XGBoost,0.6766945025557466,0.0715799983962585,0.5846875,0.7389574436668807,0.0845146892968132,0.6594849846354881,0.5828779915736437,0.0869152189052357,0.5789473684210527,0.6149700007594744,0.0579195180424887,0.568125,0.6476190476190476,0.1358604058827343,0.6176470588235294,0.716087187666135,0.2176386327002086,0.65625,0.6351618037135279,0.1014924874231685,0.6363636363636364,0.5138528138528138,0.1919443614217383,0.48,15.6,15.6,2.33238075793812,12,16.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,61,4,1.278688524590164
