,SVM_RBF,LightGBM,SVM_Linear,RandomForest,NaiveBayes,LogisticRegression,XGBoost,ExtraTrees,GradientBoosting,KNN
SVM_RBF,1.0,0.8037325292919921,0.3495504655035476,0.2677480567685149,0.5151879944270934,0.1765347456600188,0.3892419631435927,0.18401694785104372,0.0974636590086855,0.17155721963097947
LightGBM,0.8037325292919921,1.0,0.943328086102165,0.4251377112788991,0.8052128222186087,0.8036468242302484,0.4709649401561967,0.42081652387241986,0.20117701525682508,0.38758218817896994
SVM_Linear,0.3495504655035476,0.943328086102165,1.0,0.37256350455272547,0.6847912688940969,0.40500022210719266,0.502643082408804,0.2315773251559018,0.14060102566724347,0.25151234690005697
RandomForest,0.2677480567685149,0.4251377112788991,0.37256350455272547,1.0,0.7671612662070452,0.6645436843598455,0.8395128897797841,0.84946901621345,0.3564633432971761,0.7150151161642275
NaiveBayes,0.5151879944270934,0.8052128222186087,0.6847912688940969,0.7671612662070452,1.0,0.9576914567252938,0.8529718835698311,0.6957024733018996,0.4453904560846833,0.5168514200700282
LogisticRegression,0.1765347456600188,0.8036468242302484,0.40500022210719266,0.6645436843598455,0.9576914567252938,1.0,0.7764241964064654,0.5303302038587341,0.2697068282230838,0.43793530139661907
XGBoost,0.3892419631435927,0.4709649401561967,0.502643082408804,0.8395128897797841,0.8529718835698311,0.7764241964064654,1.0,0.7215019680296128,0.29090049899188264,0.679436768985457
ExtraTrees,0.18401694785104372,0.42081652387241986,0.2315773251559018,0.84946901621345,0.6957024733018996,0.5303302038587341,0.7215019680296128,1.0,0.6000883520572389,0.8284738641527262
GradientBoosting,0.0974636590086855,0.20117701525682508,0.14060102566724347,0.3564633432971761,0.4453904560846833,0.2697068282230838,0.29090049899188264,0.6000883520572389,1.0,0.8862704271282759
KNN,0.17155721963097947,0.38758218817896994,0.25151234690005697,0.7150151161642275,0.5168514200700282,0.43793530139661907,0.679436768985457,0.8284738641527262,0.8862704271282759,1.0
