Threshold,TN,FP,FN,TP,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Youden_J
0.05,0,52,0,65,0.5555555555555556,0.5,1.0,0.0,0.5555555555555556,,0.7142857142857143,0.0,0.0
0.06,0,52,0,65,0.5555555555555556,0.5,1.0,0.0,0.5555555555555556,,0.7142857142857143,0.0,0.0
0.07,0,52,0,65,0.5555555555555556,0.5,1.0,0.0,0.5555555555555556,,0.7142857142857143,0.0,0.0
0.08,0,52,1,64,0.5470085470085471,0.49230769230769234,0.9846153846153847,0.0,0.5517241379310345,0.0,0.7071823204419889,-0.017057569296375252,-0.01538461538461533
0.09,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.1,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.11,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.12,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.13,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.14,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.15,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.16,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.17,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.18,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.19,1,51,1,64,0.5555555555555556,0.5019230769230769,0.9846153846153847,0.019230769230769232,0.5565217391304348,0.5,0.7111111111111111,0.004255319148936287,0.0038461538461538325
0.2,2,50,1,64,0.5641025641025641,0.5115384615384616,0.9846153846153847,0.038461538461538464,0.5614035087719298,0.6666666666666666,0.7150837988826816,0.02547770700636931,0.023076923076923217
0.21,2,50,1,64,0.5641025641025641,0.5115384615384616,0.9846153846153847,0.038461538461538464,0.5614035087719298,0.6666666666666666,0.7150837988826816,0.02547770700636931,0.023076923076923217
0.22,3,49,1,64,0.5726495726495726,0.5211538461538462,0.9846153846153847,0.057692307692307696,0.5663716814159292,0.75,0.7191011235955056,0.04661016949152541,0.04230769230769238
0.23,3,49,1,64,0.5726495726495726,0.5211538461538462,0.9846153846153847,0.057692307692307696,0.5663716814159292,0.75,0.7191011235955056,0.04661016949152541,0.04230769230769238
0.24,3,49,1,64,0.5726495726495726,0.5211538461538462,0.9846153846153847,0.057692307692307696,0.5663716814159292,0.75,0.7191011235955056,0.04661016949152541,0.04230769230769238
0.25,3,49,1,64,0.5726495726495726,0.5211538461538462,0.9846153846153847,0.057692307692307696,0.5663716814159292,0.75,0.7191011235955056,0.04661016949152541,0.04230769230769238
0.26,3,49,1,64,0.5726495726495726,0.5211538461538462,0.9846153846153847,0.057692307692307696,0.5663716814159292,0.75,0.7191011235955056,0.04661016949152541,0.04230769230769238
0.27,3,49,2,63,0.5641025641025641,0.5134615384615384,0.9692307692307692,0.057692307692307696,0.5625,0.6,0.711864406779661,0.029598308668076112,0.026923076923076827
0.28,3,49,2,63,0.5641025641025641,0.5134615384615384,0.9692307692307692,0.057692307692307696,0.5625,0.6,0.711864406779661,0.029598308668076112,0.026923076923076827
0.29,4,48,3,62,0.5641025641025641,0.5153846153846154,0.9538461538461539,0.07692307692307693,0.5636363636363636,0.5714285714285714,0.7085714285714285,0.03368421052631565,0.030769230769230882
0.3,4,48,3,62,0.5641025641025641,0.5153846153846154,0.9538461538461539,0.07692307692307693,0.5636363636363636,0.5714285714285714,0.7085714285714285,0.03368421052631565,0.030769230769230882
0.31,5,47,3,62,0.5726495726495726,0.525,0.9538461538461539,0.09615384615384616,0.5688073394495413,0.625,0.7126436781609196,0.054621848739495715,0.050000000000000044
0.32,6,46,4,61,0.5726495726495726,0.5269230769230769,0.9384615384615385,0.11538461538461539,0.5700934579439252,0.6,0.7093023255813954,0.05857740585774063,0.05384615384615388
0.33,6,46,4,61,0.5726495726495726,0.5269230769230769,0.9384615384615385,0.11538461538461539,0.5700934579439252,0.6,0.7093023255813954,0.05857740585774063,0.05384615384615388
0.34,6,46,5,60,0.5641025641025641,0.5192307692307693,0.9230769230769231,0.11538461538461539,0.5660377358490566,0.5454545454545454,0.7017543859649122,0.04175365344467652,0.03846153846153855
0.35,6,46,5,60,0.5641025641025641,0.5192307692307693,0.9230769230769231,0.11538461538461539,0.5660377358490566,0.5454545454545454,0.7017543859649122,0.04175365344467652,0.03846153846153855
0.36,7,45,6,59,0.5641025641025641,0.5211538461538462,0.9076923076923077,0.1346153846153846,0.5673076923076923,0.5384615384615384,0.6982248520710059,0.04573804573804574,0.04230769230769238
0.37,7,45,6,59,0.5641025641025641,0.5211538461538462,0.9076923076923077,0.1346153846153846,0.5673076923076923,0.5384615384615384,0.6982248520710059,0.04573804573804574,0.04230769230769238
0.38,7,45,6,59,0.5641025641025641,0.5211538461538462,0.9076923076923077,0.1346153846153846,0.5673076923076923,0.5384615384615384,0.6982248520710059,0.04573804573804574,0.04230769230769238
0.39,7,45,6,59,0.5641025641025641,0.5211538461538462,0.9076923076923077,0.1346153846153846,0.5673076923076923,0.5384615384615384,0.6982248520710059,0.04573804573804574,0.04230769230769238
0.4,7,45,6,59,0.5641025641025641,0.5211538461538462,0.9076923076923077,0.1346153846153846,0.5673076923076923,0.5384615384615384,0.6982248520710059,0.04573804573804574,0.04230769230769238
0.41,7,45,7,58,0.5555555555555556,0.5134615384615385,0.8923076923076924,0.1346153846153846,0.5631067961165048,0.5,0.6904761904761905,0.02904564315352698,0.02692307692307705
0.42,7,45,7,58,0.5555555555555556,0.5134615384615385,0.8923076923076924,0.1346153846153846,0.5631067961165048,0.5,0.6904761904761905,0.02904564315352698,0.02692307692307705
