,SVM_RBF,LightGBM,SVM_Linear,RandomForest,NaiveBayes,LogisticRegression,XGBoost,ExtraTrees,GradientBoosting,KNN
SVM_RBF,0.0,0.24851944199533918,0.9354615970406693,1.1082634471130317,0.6507808024196019,1.3515017938709408,0.8609928824716623,1.3284879921171102,1.6572761396517657,1.3672172511776484
LightGBM,-0.24851944199533918,0.0,-0.07108753826536875,0.7975396042984243,0.2466064372100826,0.24863022772416069,0.7209099182450065,0.8050054689379088,1.2782053925398535,0.8640103804730452
SVM_Linear,-0.9354615970406693,0.07108753826536875,0.0,0.8916818128043267,0.4059337637753308,0.8327243255469955,0.6703368481255846,1.1963055976424894,1.4735565563830693,1.1466837548010678
RandomForest,-1.1082634471130317,-0.7975396042984243,-0.8916818128043267,0.0,-0.29609011054401524,-0.4336485349270773,-0.20251659048799242,0.189795967140822,0.9221250666474416,0.3651289974605428
NaiveBayes,-0.6507808024196019,-0.2466064372100826,-0.4059337637753308,0.29609011054401524,0.0,-0.05305076912076432,0.1853278648762856,0.3911282050933647,0.7631223097332718,0.6482064664648884
LogisticRegression,-1.3515017938709408,-0.24863022772416069,-0.8327243255469955,0.4336485349270773,0.05305076912076432,0.0,0.28398197198318503,0.6275020331529342,1.1037379501253919,0.7756844874104778
XGBoost,-0.8609928824716623,-0.7209099182450065,-0.6703368481255846,0.20251659048799242,-0.1853278648762856,-0.28398197198318503,0.0,0.35645216670478663,1.0561482289739372,0.41323183097068406
ExtraTrees,-1.3284879921171102,-0.8050054689379088,-1.1963055976424894,-0.189795967140822,-0.3911282050933647,-0.6275020331529342,-0.35645216670478663,0.0,0.5242734621026278,0.2166593055238103
GradientBoosting,-1.6572761396517657,-1.2782053925398535,-1.4735565563830693,-0.9221250666474416,-0.7631223097332718,-1.1037379501253919,-1.0561482289739372,-0.5242734621026278,0.0,-0.1430250125305641
KNN,-1.3672172511776484,-0.8640103804730452,-1.1466837548010678,-0.3651289974605428,-0.6482064664648884,-0.7756844874104778,-0.41323183097068406,-0.2166593055238103,0.1430250125305641,0.0
