Feature_Family,N_Features,Percentage
Morphological,32,22.06896551724138
IB,24,16.551724137931036
HI,30,20.689655172413794
GLCM,24,16.551724137931036
GLRLM,14,9.655172413793103
GLSZM,16,11.03448275862069
NGTDM,5,3.4482758620689653
