Feature,Selection_Count,Selection_Frequency,Family
Post2_GLCM_Correlation,3,0.6,GLCM
Post1_Morph_Sphericity,3,0.6,Morphology
ADC_IH_IntensityHistogramMedian_Intensity,3,0.6,Histogram
Post2_GLCM_InverseVariance,3,0.6,GLCM
Post2_IH_IntensityHistogramMode_Intensity,3,0.6,Histogram
Post1_Morph_Compactness1,2,0.4,Morphology
ADC_GLSZM_GreyLevelVariance,2,0.4,GLSZM
ADC_IB_MedianIntensity,2,0.4,Intensity
Pre_GLSZM_GreyLevelVariance,1,0.2,GLSZM
Pre_GLSZM_HighGrayLevelZoneEmphasis,1,0.2,GLSZM
Post1_GLSZM_LargeZoneEmphasis,1,0.2,GLSZM
Post2_GLCM_AngularSecondMoment,1,0.2,GLCM
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,Morphology
Post1_IH_IntensityHistogramMode_Intensity,1,0.2,Histogram
Pre_GLCM_ClusterProminence,1,0.2,GLCM
Post2_Morph_Sphericity,1,0.2,Morphology
