Model,Fold,ROC_AUC
LogisticRegression,1,0.7152777777777778
SVM_RBF,1,0.6944444444444444
SVM_Linear,1,0.6875
RandomForest,1,0.6319444444444444
GradientBoosting,1,0.6666666666666666
ExtraTrees,1,0.6111111111111112
KNN,1,0.5277777777777777
NaiveBayes,1,0.7291666666666667
XGBoost,1,0.6666666666666666
LightGBM,1,0.5555555555555556
LogisticRegression,2,0.8071428571428572
SVM_RBF,2,0.7928571428571428
SVM_Linear,2,0.7857142857142857
RandomForest,2,0.5571428571428572
GradientBoosting,2,0.7428571428571429
ExtraTrees,2,0.6357142857142857
KNN,2,0.7571428571428571
NaiveBayes,2,0.8285714285714286
XGBoost,2,0.6
LightGBM,2,0.5785714285714285
LogisticRegression,3,0.861111111111111
SVM_RBF,3,0.8888888888888888
SVM_Linear,3,0.875
RandomForest,3,0.8333333333333333
GradientBoosting,3,0.8055555555555556
ExtraTrees,3,0.8888888888888888
KNN,3,0.8333333333333333
NaiveBayes,3,0.6527777777777777
XGBoost,3,0.7361111111111112
LightGBM,3,0.7361111111111112
LogisticRegression,4,0.7666666666666666
SVM_RBF,4,0.7666666666666666
SVM_Linear,4,0.7833333333333333
RandomForest,4,0.6944444444444444
GradientBoosting,4,0.6833333333333333
ExtraTrees,4,0.7166666666666667
KNN,4,0.7722222222222223
NaiveBayes,4,0.7833333333333333
XGBoost,4,0.7
LightGBM,4,0.7611111111111112
LogisticRegression,5,0.7380952380952381
SVM_RBF,5,0.8095238095238095
SVM_Linear,5,0.7023809523809524
RandomForest,5,0.8095238095238095
GradientBoosting,5,0.7738095238095238
ExtraTrees,5,0.8095238095238095
KNN,5,0.7976190476190477
NaiveBayes,5,0.7261904761904763
XGBoost,5,0.7261904761904763
LightGBM,5,0.6428571428571428
