feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
GLSZM_LargeZoneEmphasis,116,4823.707405440616,938.163921180578,87.090007215,25.90323962,2.831840672455171e-14,6.312416100509293e-16,False,Spearman,-0.21224671138831527,0.022176162637263866,Mann_Whitney_U,2074.0,0.023007102783194337,-0.33084769604984243,0.04070308332156026,0.04222822662738201
GLCM_InverseVariance,116,0.28458540880769234,0.24484158690625,0.290799494,0.233341455,0.36420439122373643,0.0007853621736077474,False,Spearman,-0.19826948893103594,0.03288123815752907,Mann_Whitney_U,2047.0,0.03371803035104261,-0.41416779191300473,0.059597244160521444,0.06111393001126473
IB_10thIntensityPercentile,116,113.19030595273078,143.05193868125,123.43940735,138.41687009999998,0.13981197486553582,0.22953801372763338,True,Pearson_point_biserial_equivalent,0.1953550289670333,0.03559313569453257,Welch_t_test,-2.1231731515262595,0.03601376334242694,0.3970669591504551,0.06218077922538823,0.06308624202438148
GLSZM_ZoneSizeVariance,116,4401.133298067692,894.7095125750625,56.696937805000005,15.448646175,2.5092673602342392e-14,5.600079414276613e-16,False,Spearman,-0.19568111440191016,0.03528065097453588,Mann_Whitney_U,2042.0,0.03611143508981837,-0.31756638637899964,0.06218077922538823,0.06308624202438148
GLSZM_ZoneSizeEntropy,116,5.470457609749999,5.936190086218749,5.7362043975,5.9991591285,5.940237367418324e-05,0.15921399010677134,False,Spearman,0.1961987893077353,0.034789314316112034,Mann_Whitney_U,1285.0,0.03562149242848236,0.46541070264036566,0.06218077922538823,0.06308624202438148
IH_IntensityHistogram10thPercentile,116,5.8076923076923075,7.15625,6.0,7.0,0.03996763647467874,0.0800461604849472,False,Spearman,0.19208932011640678,0.03885313976747372,Mann_Whitney_U,1294.5,0.03967266349100764,0.39180713726618255,0.0670679198367106,0.068482573883287
GLCM_ClusterShade,116,-167.7469055151731,-550.86246357475,0.156425849,-223.30724329999998,0.0016677055962341875,6.2278256819670476e-06,False,Spearman,-0.18480994137958182,0.047027700559532405,Mann_Whitney_U,2021.0,0.047805862292885616,-0.3937988407976059,0.07929089047828138,0.0806029073542839
GLRLM_LongRunLowGreyLevelEmphasis,116,0.4405538435384615,0.099328277765625,0.0542392305,0.0341981225,2.695732496524133e-14,3.830836891023733e-16,False,Spearman,-0.18480994137958182,0.047027700559532405,Mann_Whitney_U,2021.0,0.047805862292885616,-0.33302283624456547,0.07929089047828138,0.0806029073542839
IB_IntensityBasedEnergy,116,323759504.3152827,201268432.20485938,31450000.0,55600000.0,8.587062643415882e-16,1.7836652601845554e-12,False,Spearman,0.17264624033105172,0.06384487340840601,Mann_Whitney_U,1330.5,0.06450852434527238,-0.09447967592386844,0.10640812234734334,0.10751420724212063
NGTDM_Busyness,116,1.597944521576923,0.73970487590625,0.2112269325,0.151582441,5.947599129623374e-14,1.3338607979399625e-15,False,Spearman,-0.1687620192990019,0.0701484797416052,Mann_Whitney_U,1990.0,0.07076300989459529,-0.23983727910632177,0.11558556321059946,0.1165981413035945
