,LogisticRegression,KNN,ExtraTrees,SVM_Linear,GradientBoosting,RandomForest,NaiveBayes,SVM_RBF,XGBoost,LightGBM
LogisticRegression,0.0,-0.44621713493568343,0.6849713696455431,1.5102343361567145,1.4656083944875289,1.1393502415293708,1.0692927492214337,1.1184839248385177,1.4839879314250954,1.2756742054966772
KNN,0.44621713493568343,0.0,1.0655857882967004,1.8291935001435506,2.1135314915626275,1.677911448570131,1.3613770145759572,1.4259249249950365,1.853248449056054,1.7384412285947066
ExtraTrees,-0.6849713696455431,-1.0655857882967004,0.0,0.7582082129535429,0.8120855840194857,0.38109903994301175,0.474013463398533,0.3593237745475149,0.9236153142709893,0.7007376668578625
SVM_Linear,-1.5102343361567145,-1.8291935001435506,-0.7582082129535429,0.0,-0.1655530586334047,-0.5754225755821645,-0.26752433592591246,-0.46516279771980973,0.06898840089673007,-0.21582080821618568
GradientBoosting,-1.4656083944875289,-2.1135314915626275,-0.8120855840194857,0.1655530586334047,0.0,-0.728729373299793,-0.08599806754200921,-0.3298666900932138,0.31558794198994733,-0.09880960634009925
RandomForest,-1.1393502415293708,-1.677911448570131,-0.38109903994301175,0.5754225755821645,0.728729373299793,0.0,0.24238328262821338,0.09468682346817049,0.8304089257770094,0.5543235133387359
NaiveBayes,-1.0692927492214337,-1.3613770145759572,-0.474013463398533,0.26752433592591246,0.08599806754200921,-0.24238328262821338,0.0,-0.15831792715113288,0.27837590315421307,0.035802094925849695
SVM_RBF,-1.1184839248385177,-1.4259249249950365,-0.3593237745475149,0.46516279771980973,0.3298666900932138,-0.09468682346817049,0.15831792715113288,0.0,0.5386929001425849,0.25988299114948127
XGBoost,-1.4839879314250954,-1.853248449056054,-0.9236153142709893,-0.06898840089673007,-0.31558794198994733,-0.8304089257770094,-0.27837590315421307,-0.5386929001425849,0.0,-0.478347967614641
LightGBM,-1.2756742054966772,-1.7384412285947066,-0.7007376668578625,0.21582080821618568,0.09880960634009925,-0.5543235133387359,-0.035802094925849695,-0.25988299114948127,0.478347967614641,0.0
