,LogisticRegression,KNN,ExtraTrees,SVM_Linear,GradientBoosting,RandomForest,NaiveBayes,SVM_RBF,XGBoost,LightGBM
LogisticRegression,1.0,0.6554404067064898,0.49336198772666706,0.13098364015962077,0.14275500302643357,0.2545571008903573,0.2849377768007344,0.2633603683347725,0.13781212233151552,0.20207071052099457
KNN,0.6554404067064898,1.0,0.28661092636041774,0.06737062582469723,0.03455530255573701,0.09336438721893188,0.17339457612037357,0.15389001385615728,0.06384675629994,0.0821330973750382
ExtraTrees,0.49336198772666706,0.28661092636041774,1.0,0.44832634528595705,0.41674252454797434,0.7031297597741004,0.6354903064653667,0.7193528908206588,0.3556866375966289,0.48346674465128403
SVM_Linear,0.13098364015962077,0.06737062582469723,0.44832634528595705,1.0,0.8685086911779252,0.5650055396647068,0.7890654794039624,0.6418148778757453,0.9449988522452886,0.8291274279214813
GradientBoosting,0.14275500302643357,0.03455530255573701,0.41674252454797434,0.8685086911779252,1.0,0.4661672214051985,0.9314679534144555,0.7415006934800232,0.7523152911978771,0.9212894410662003
RandomForest,0.2545571008903573,0.09336438721893188,0.7031297597741004,0.5650055396647068,0.4661672214051985,1.0,0.8084831867638549,0.9245635843001743,0.4063076207726497,0.5793574611560296
NaiveBayes,0.2849377768007344,0.17339457612037357,0.6354903064653667,0.7890654794039624,0.9314679534144555,0.8084831867638549,1.0,0.8742062824660498,0.7807238152353329,0.9714401626302271
SVM_RBF,0.2633603683347725,0.15389001385615728,0.7193528908206588,0.6418148778757453,0.7415006934800232,0.9245635843001743,0.8742062824660498,1.0,0.59009877349798,0.7949540317045825
XGBoost,0.13781212233151552,0.06384675629994,0.3556866375966289,0.9449988522452886,0.7523152911978771,0.4063076207726497,0.7807238152353329,0.59009877349798,1.0,0.632402560878387
LightGBM,0.20207071052099457,0.0821330973750382,0.48346674465128403,0.8291274279214813,0.9212894410662003,0.5793574611560296,0.9714401626302271,0.7949540317045825,0.632402560878387,1.0
