fold,n_estimators,max_depth,learning_rate,subsample
1,25,2,0.07786135445417827,0.7627606366351568
2,75,1,0.026577711982616582,0.9534328396959711
3,50,3,0.06571271013022326,0.8008335850362696
4,100,1,0.06549750379683224,0.7822221241125097
5,25,2,0.07786135445417827,0.7627606366351568
