,SVM_RBF,LogisticRegression,SVM_Linear,ExtraTrees,NaiveBayes,GradientBoosting,KNN,LightGBM,RandomForest,XGBoost
SVM_RBF,0.0,-0.3277483088234817,0.21734995233163057,2.4181575023074786,1.031194517347735,0.5259614872814765,2.078458304665414,3.2145241982319606,3.011715290958589,3.427959567815884
LogisticRegression,0.3277483088234817,0.0,1.1370896215627209,2.183256572963815,1.1320812638851574,0.7265770203511441,2.042122955064136,3.339111947101218,2.8685272400054087,3.3831060463573217
SVM_Linear,-0.21734995233163057,-1.1370896215627209,0.0,1.9078037806139208,0.7979941805368895,0.4201138716772291,1.7077967565305232,3.0061434608801054,2.64104808704611,3.0736401117545262
ExtraTrees,-2.4181575023074786,-2.183256572963815,-1.9078037806139208,0.0,-1.1115930651502723,-1.4534241721016041,-0.392931526335323,1.2024420636324937,0.7636938947056273,1.1867926337753782
NaiveBayes,-1.031194517347735,-1.1320812638851574,-0.7979941805368895,1.1115930651502723,0.0,-0.35362310910490063,0.7108444695807002,1.9642372383539264,1.471131632366334,1.8777610489448102
GradientBoosting,-0.5259614872814765,-0.7265770203511441,-0.4201138716772291,1.4534241721016041,0.35362310910490063,0.0,1.1380938862285495,2.550668790671865,2.1681659028132683,2.787519791053817
KNN,-2.078458304665414,-2.042122955064136,-1.7077967565305232,0.392931526335323,-0.7108444695807002,-1.1380938862285495,0.0,1.3725965583786455,0.9950997182592372,1.6358251831371367
LightGBM,-3.2145241982319606,-3.339111947101218,-3.0061434608801054,-1.2024420636324937,-1.9642372383539264,-2.550668790671865,-1.3725965583786455,0.0,-0.6428242927951643,-0.03483750066418559
RandomForest,-3.011715290958589,-2.8685272400054087,-2.64104808704611,-0.7636938947056273,-1.471131632366334,-2.1681659028132683,-0.9950997182592372,0.6428242927951643,0.0,0.8485602739350379
XGBoost,-3.427959567815884,-3.3831060463573217,-3.0736401117545262,-1.1867926337753782,-1.8777610489448102,-2.787519791053817,-1.6358251831371367,0.03483750066418559,-0.8485602739350379,0.0
