Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.787 ± 0.145,0.872 ± 0.083,0.682 ± 0.028,0.704 ± 0.044,0.737 ± 0.152,0.709 ± 0.228,0.683 ± 0.077,0.700 ± 0.178,10.800 ± 4.382
LogisticRegression,0.762 ± 0.106,0.802 ± 0.078,0.707 ± 0.095,0.719 ± 0.102,0.749 ± 0.082,0.727 ± 0.232,0.712 ± 0.099,0.711 ± 0.158,10.800 ± 4.382
SVM_Linear,0.759 ± 0.118,0.800 ± 0.079,0.684 ± 0.039,0.708 ± 0.045,0.743 ± 0.152,0.702 ± 0.219,0.684 ± 0.073,0.713 ± 0.171,10.800 ± 4.382
ExtraTrees,0.750 ± 0.150,0.829 ± 0.073,0.627 ± 0.069,0.663 ± 0.078,0.731 ± 0.195,0.624 ± 0.319,0.598 ± 0.153,0.702 ± 0.244,10.800 ± 4.382
NaiveBayes,0.746 ± 0.125,0.791 ± 0.094,0.704 ± 0.125,0.681 ± 0.149,0.685 ± 0.089,0.835 ± 0.269,0.730 ± 0.154,0.527 ± 0.315,10.800 ± 4.382
GradientBoosting,0.729 ± 0.119,0.751 ± 0.057,0.683 ± 0.152,0.703 ± 0.139,0.796 ± 0.124,0.641 ± 0.301,0.657 ± 0.212,0.764 ± 0.188,10.800 ± 4.382
KNN,0.719 ± 0.109,0.793 ± 0.039,0.653 ± 0.083,0.670 ± 0.108,0.697 ± 0.109,0.688 ± 0.217,0.665 ± 0.067,0.651 ± 0.153,10.800 ± 4.382
LightGBM,0.674 ± 0.142,0.748 ± 0.064,0.588 ± 0.061,0.613 ± 0.066,0.674 ± 0.226,0.569 ± 0.214,0.568 ± 0.118,0.658 ± 0.220,10.800 ± 4.382
RandomForest,0.670 ± 0.143,0.751 ± 0.031,0.630 ± 0.099,0.651 ± 0.104,0.702 ± 0.109,0.628 ± 0.312,0.606 ± 0.160,0.673 ± 0.220,10.800 ± 4.382
XGBoost,0.638 ± 0.110,0.700 ± 0.065,0.605 ± 0.090,0.612 ± 0.060,0.633 ± 0.125,0.608 ± 0.217,0.595 ± 0.140,0.616 ± 0.129,10.800 ± 4.382
