,LogisticRegression,SVM_RBF,SVM_Linear,RandomForest,LightGBM,GradientBoosting,ExtraTrees,XGBoost,NaiveBayes,KNN
LogisticRegression,0.0,1.4871798893665373,1.0084711345077542,1.1326434469387943,1.0442779084279465,2.412867867769122,2.020916561045757,1.7935164807185873,3.8730835342528027,2.566308650087867
SVM_RBF,-1.4871798893665373,0.0,-0.6403254417809937,0.2270385783869858,0.2176829770421472,1.5431381737522543,1.3484469699536918,0.985538149980345,3.587802744159715,1.9330978712363869
SVM_Linear,-1.0084711345077542,0.6403254417809937,0.0,0.5541671269081023,0.5322025168400042,1.6296748062506925,1.4524286404240343,1.189136290619636,3.618509064673559,2.3083551494682157
RandomForest,-1.1326434469387943,-0.2270385783869858,-0.5541671269081023,0.0,0.05978872292817245,1.7862463613383428,0.9551983219324697,0.9770359377811646,3.511893105814851,1.5360648058442714
LightGBM,-1.0442779084279465,-0.2176829770421472,-0.5322025168400042,-0.05978872292817245,0.0,1.2980966550334392,0.73933186932891,1.0802097551904926,2.9805957803781573,1.3061581788223011
GradientBoosting,-2.412867867769122,-1.5431381737522543,-1.6296748062506925,-1.7862463613383428,-1.2980966550334392,0.0,-0.5767454467678741,-0.3392877546479373,2.138807670149255,0.3837847678358198
ExtraTrees,-2.020916561045757,-1.3484469699536918,-1.4524286404240343,-0.9551983219324697,-0.73933186932891,0.5767454467678741,0.0,0.15647622435345737,2.8277282724399035,0.8716874927466047
XGBoost,-1.7935164807185873,-0.985538149980345,-1.189136290619636,-0.9770359377811646,-1.0802097551904926,0.3392877546479373,-0.15647622435345737,0.0,2.295614705971061,0.5607514446060488
NaiveBayes,-3.8730835342528027,-3.587802744159715,-3.618509064673559,-3.511893105814851,-2.9805957803781573,-2.138807670149255,-2.8277282724399035,-2.295614705971061,0.0,-1.782575029260869
KNN,-2.566308650087867,-1.9330978712363869,-2.3083551494682157,-1.5360648058442714,-1.3061581788223011,-0.3837847678358198,-0.8716874927466047,-0.5607514446060488,1.782575029260869,0.0
