Metric,Value
ROC-AUC,0.736875
PR-AUC,0.8304058533483609
Balanced Acc.,0.6925
Sensitivity,0.625
Specificity,0.76
PPV,0.7692307692307693
NPV,0.6129032258064516
Kappa,0.3751522533495737
