,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,ExtraTrees,KNN,GradientBoosting,RandomForest,XGBoost,LightGBM
SVM_Linear,0.0,-1.8853079007878593,0.38421423158664897,2.6650021524381584,1.0755491892687803,1.7147912687474887,2.634575738344974,2.0370468848894925,3.2857637377734825,3.389245796902742
LogisticRegression,1.8853079007878593,0.0,1.2166543491912871,3.019354807127888,1.727812275664775,2.420825754211566,3.257724147508318,2.63432991268372,3.887545171514573,3.6957205463768426
SVM_RBF,-0.38421423158664897,-1.2166543491912871,0.0,2.535024261983676,0.7589492903558611,1.4512251321334748,2.225458697304716,1.8202829973505208,3.0407713291946714,3.262519160417755
NaiveBayes,-2.6650021524381584,-3.019354807127888,-2.535024261983676,0.0,-1.8880186024518728,-1.3314944903791048,-0.17885440935413036,-0.9440049580662555,-0.006018644422510601,0.4532835085741682
ExtraTrees,-1.0755491892687803,-1.727812275664775,-0.7589492903558611,1.8880186024518728,0.0,0.6753661890988112,1.9236239449540964,1.2575763878729196,2.3294585984639333,2.806687981888366
KNN,-1.7147912687474887,-2.420825754211566,-1.4512251321334748,1.3314944903791048,-0.6753661890988112,0.0,1.5377491213332062,0.6727863231151222,1.9811155320693412,2.142072483148432
GradientBoosting,-2.634575738344974,-3.257724147508318,-2.225458697304716,0.17885440935413036,-1.9236239449540964,-1.5377491213332062,0.0,-1.2386557308026882,0.27119516342786065,0.7334662870919353
RandomForest,-2.0370468848894925,-2.63432991268372,-1.8202829973505208,0.9440049580662555,-1.2575763878729196,-0.6727863231151222,1.2386557308026882,0.0,1.9751837059317956,2.0439775661059927
XGBoost,-3.2857637377734825,-3.887545171514573,-3.0407713291946714,0.006018644422510601,-2.3294585984639333,-1.9811155320693412,-0.27119516342786065,-1.9751837059317956,0.0,0.7697953186785267
LightGBM,-3.389245796902742,-3.6957205463768426,-3.262519160417755,-0.4532835085741682,-2.806687981888366,-2.142072483148432,-0.7334662870919353,-2.0439775661059927,-0.7697953186785267,0.0
