Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.834 ± 0.051,0.866 ± 0.091,0.733 ± 0.094,0.739 ± 0.046,0.746 ± 0.103,0.833 ± 0.217,0.763 ± 0.094,0.646 ± 0.169,10.400 ± 4.775
LogisticRegression,0.828 ± 0.049,0.864 ± 0.088,0.753 ± 0.117,0.759 ± 0.095,0.804 ± 0.096,0.788 ± 0.180,0.777 ± 0.093,0.731 ± 0.193,10.400 ± 4.775
SVM_RBF,0.827 ± 0.030,0.871 ± 0.040,0.714 ± 0.108,0.725 ± 0.070,0.740 ± 0.138,0.819 ± 0.206,0.750 ± 0.100,0.631 ± 0.202,10.400 ± 4.775
NaiveBayes,0.789 ± 0.098,0.835 ± 0.120,0.601 ± 0.141,0.572 ± 0.128,0.604 ± 0.158,0.896 ± 0.103,0.709 ± 0.105,0.248 ± 0.303,10.400 ± 4.775
ExtraTrees,0.787 ± 0.107,0.842 ± 0.099,0.716 ± 0.112,0.719 ± 0.089,0.759 ± 0.105,0.723 ± 0.219,0.723 ± 0.131,0.715 ± 0.148,10.400 ± 4.775
KNN,0.785 ± 0.091,0.805 ± 0.081,0.673 ± 0.106,0.685 ± 0.081,0.722 ± 0.092,0.731 ± 0.209,0.700 ± 0.105,0.639 ± 0.186,10.400 ± 4.775
GradientBoosting,0.742 ± 0.154,0.826 ± 0.105,0.614 ± 0.080,0.641 ± 0.101,0.683 ± 0.199,0.766 ± 0.204,0.679 ± 0.032,0.517 ± 0.365,10.400 ± 4.775
RandomForest,0.727 ± 0.137,0.784 ± 0.096,0.698 ± 0.104,0.712 ± 0.103,0.749 ± 0.091,0.725 ± 0.171,0.722 ± 0.074,0.699 ± 0.136,10.400 ± 4.775
XGBoost,0.700 ± 0.139,0.792 ± 0.104,0.588 ± 0.075,0.600 ± 0.106,0.629 ± 0.169,0.756 ± 0.188,0.659 ± 0.071,0.444 ± 0.239,10.400 ± 4.775
LightGBM,0.679 ± 0.109,0.776 ± 0.096,0.546 ± 0.066,0.566 ± 0.084,0.616 ± 0.155,0.653 ± 0.179,0.601 ± 0.062,0.479 ± 0.233,10.400 ± 4.775
