fold,C,gamma
1,8.40977177487212,0.002315509580526788
2,9.338346357410423,0.008873447837018373
3,9.713353609923683,0.004493185986397954
4,0.5261731177551588,0.020434712266803594
5,0.4819437348329684,0.0300302028157839
6,0.4819437348329684,0.0300302028157839
7,0.0010082317957240696,0.000129374755738077
8,0.3994026902873919,0.018222100597320594
9,0.4819437348329684,0.0300302028157839
10,0.7861519695799313,0.020434712266803594
11,0.0010444205893399786,0.0002315833661913895
12,9.713353609923683,0.004493185986397954
13,9.713353609923683,0.004493185986397954
14,9.07254739326856,0.02096699537200604
15,8.412390341315657,0.011589846190670987
