fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.7500000000000001,0.759001987291461,0.7083333333333334,0.7083333333333334,0.7407407407407407,0.6666666666666666,0.8333333333333334,16
2,0.6000000000000001,0.4944749694749695,0.625,0.65,0.64,0.5333333333333333,0.8,12
3,0.8611111111111112,0.9210858585858586,0.7647058823529411,0.7569444444444444,0.8,0.7272727272727273,0.8888888888888888,4
4,0.75,0.7877925292992373,0.7142857142857143,0.7555555555555555,0.7333333333333333,0.9166666666666666,0.6111111111111112,4
5,0.6785714285714286,0.8606525943710817,0.65,0.5595238095238095,0.7586206896551724,0.7333333333333333,0.7857142857142857,6
