Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
NaiveBayes,0.5905325443786983,0.6774345078568758,0.5555555555555556,0.5384615384615384,0.6923076923076923,0.38461538461538464,0.5844155844155844,0.5,0.6338028169014085,0.07874015748031493,0.3735321070921374,16.0,0.0
ExtraTrees,0.5822485207100592,0.624429678384459,0.5811965811965812,0.5769230769230769,0.6153846153846154,0.5384615384615384,0.625,0.5283018867924528,0.6201550387596899,0.15355086372360838,0.254081015941343,16.0,0.0
LogisticRegression,0.5804733727810651,0.6456847778080765,0.5384615384615384,0.5365384615384616,0.5538461538461539,0.5192307692307693,0.5901639344262295,0.48214285714285715,0.5714285714285714,0.0725190839694656,0.266334300299332,16.0,0.0
SVM_RBF,0.576923076923077,0.6508864008560618,0.5555555555555556,0.5307692307692308,0.7538461538461538,0.3076923076923077,0.5764705882352941,0.5,0.6533333333333333,0.06400000000000006,0.2547691351839387,16.0,0.0
XGBoost,0.5736686390532544,0.6490985065981532,0.5555555555555556,0.551923076923077,0.5846153846153846,0.5192307692307693,0.6031746031746031,0.5,0.59375,0.10344827586206895,0.3156455558563496,16.0,0.0
RandomForest,0.5683431952662721,0.630185990854971,0.5555555555555556,0.551923076923077,0.5846153846153846,0.5192307692307693,0.6031746031746031,0.5,0.59375,0.10344827586206895,0.2689827873083953,16.0,0.0
KNN,0.5587278106508876,0.5797655426452429,0.5555555555555556,0.5557692307692308,0.5538461538461539,0.5576923076923077,0.6101694915254238,0.5,0.5806451612903226,0.11026615969581743,0.32137772895881855,16.0,0.0
SVM_Linear,0.5480769230769231,0.6279646374467156,0.5384615384615384,0.5134615384615384,0.7384615384615385,0.28846153846153844,0.5647058823529412,0.46875,0.64,0.028000000000000025,0.2621400821219182,16.0,0.0
GradientBoosting,0.5446745562130179,0.6241060335224042,0.5213675213675214,0.5096153846153846,0.6153846153846154,0.40384615384615385,0.5633802816901409,0.45652173913043476,0.5882352941176471,0.01945525291828798,0.3047566343177633,16.0,0.0
LightGBM,0.5387573964497041,0.5963703647533576,0.5128205128205128,0.5096153846153846,0.5384615384615384,0.4807692307692308,0.5645161290322581,0.45454545454545453,0.5511811023622047,0.019120458891013437,0.3521254884326237,16.0,0.0
