fold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_weight
1,150,1,0.020306843529140445,0.6536104369757969,0.6871853188904066,2.7382125228066014,0.2045231320021724,5
2,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
3,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
4,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
5,100,1,0.015890534522265735,0.7688928743305892,0.6319197602650571,0.41751548795828974,0.6111765261420787,3
6,100,3,0.07594839520601647,0.8654559880473317,0.6078523531810707,0.24856260025785004,0.20529497779132547,7
7,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
8,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
9,100,1,0.013849532808651416,0.7462535907254461,0.6519543941316984,1.1219312967987045,0.5454198657898497,3
10,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
11,150,1,0.042074672722989655,0.6355915621287994,0.5834603269708452,2.7382125228066014,5.337410871253376,5
12,200,1,0.05895748035834837,0.6327922068964391,0.5984170000301093,1.4513910843023832,6.00613607896205,3
13,100,1,0.022574720580185656,0.7452248000030036,0.5688099041362474,1.4722980742306975,0.8926058103315997,3
14,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
15,50,1,0.010977783918528331,0.7516294288907368,0.6128757362892089,0.23508320547618428,2.138632204165147,4
16,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
17,50,1,0.013247641408087258,0.8468927863177681,0.5781705090003316,2.253010229795928,22.66965961021347,4
18,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
19,50,2,0.010199143933189258,0.7785882173069502,0.5977222414382719,0.3787803010017066,1.1294350360269216,5
20,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
21,50,1,0.027376743584930405,0.8420790742836668,0.5320638000066603,2.9631237789365508,0.03540828137564416,4
22,100,3,0.07594839520601647,0.8654559880473317,0.6078523531810707,0.24856260025785004,0.20529497779132547,7
23,200,3,0.03498872208758817,0.7163298840979893,0.6089564012328049,0.0065672130773703616,0.10561987771978551,6
24,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
25,150,2,0.014971652823060995,0.6013877824257648,0.6349489790472458,3.086972943522529,0.011913107276893379,5
26,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
27,100,1,0.039083306288607476,0.8986150016431592,0.7749337789983771,0.10893977608796025,0.14762099792270478,4
28,50,1,0.04131241480365033,0.8293826618141209,0.7457059146066571,0.07666339684579239,0.02382144734538129,5
29,200,1,0.029171968739188387,0.7452248000030036,0.5688099041362474,2.130955815220007,0.6693127628820127,4
30,150,3,0.03951092010331015,0.6936549860124313,0.6899365110781266,0.42191314085646725,9.613606989434539,4
31,200,3,0.03498872208758817,0.7163298840979893,0.6089564012328049,0.0065672130773703616,0.10561987771978551,6
32,200,3,0.03498872208758817,0.7163298840979893,0.6089564012328049,0.0065672130773703616,0.10561987771978551,6
33,150,1,0.02021846691551368,0.7321540939596847,0.5117938878722593,2.438375772178464,42.182584904639015,5
34,100,2,0.013540330361025532,0.8909691268493695,0.736754887071928,2.895770939377564,0.6259444664831464,5
35,150,1,0.02417561804255535,0.8534328396959712,0.5014156568572917,0.0030639133796648644,3.027476249810965,13
36,100,3,0.019904783931154132,0.7977812819111693,0.5863689909717447,0.33402838987769223,10.023713908060117,3
37,100,2,0.0445354759707926,0.8269005941667464,0.534875068159028,0.04318363218253375,22.773319706615734,6
38,100,3,0.07594839520601647,0.8654559880473317,0.6078523531810707,0.24856260025785004,0.20529497779132547,7
39,150,1,0.027477290009074333,0.68591431479347,0.6372845225914938,2.7382125228066014,41.51454582372568,5
40,200,1,0.07998779150254823,0.6270313861412995,0.5327498886396483,0.7056132911676284,44.11526731646256,3
