,SVM_RBF,RandomForest,KNN,ExtraTrees,LogisticRegression,SVM_Linear,XGBoost,GradientBoosting,NaiveBayes,LightGBM
SVM_RBF,1.0,0.6870412680118789,0.3434019815299646,0.8898289731343909,0.9063529221810952,0.4097832761022988,0.31660538777690317,0.12252814075438023,0.09136886553419739,0.2562378058118382
RandomForest,0.6870412680118789,1.0,0.7110420457120901,0.7342893825278944,0.7534756864539622,0.8732922950721411,0.36947127472276065,0.07693388872472301,0.2506888579517387,0.32270722846679945
KNN,0.3434019815299646,0.7110420457120901,1.0,0.4523305226583927,0.4623394726021802,0.8449491908984138,0.6887178543788566,0.27197372713021695,0.3168337066651018,0.5616717304592916
ExtraTrees,0.8898289731343909,0.7342893825278944,0.4523305226583927,1.0,0.972699125315102,0.552534044494673,0.2936001204415575,0.061891049138694164,0.10890963429712287,0.2566764044388997
LogisticRegression,0.9063529221810952,0.7534756864539622,0.4623394726021802,0.972699125315102,1.0,0.1334789404580765,0.30866467765721783,0.07690277178593785,0.047077340019524676,0.25455562180308877
SVM_Linear,0.4097832761022988,0.8732922950721411,0.8449491908984138,0.552534044494673,0.1334789404580765,1.0,0.5588399222498476,0.17120935251351233,0.1506619607245279,0.4352262707056729
XGBoost,0.31660538777690317,0.36947127472276065,0.6887178543788566,0.2936001204415575,0.30866467765721783,0.5588399222498476,1.0,0.4151082359721626,0.5779734215472497,0.6588455969690951
GradientBoosting,0.12252814075438023,0.07693388872472301,0.27197372713021695,0.061891049138694164,0.07690277178593785,0.17120935251351233,0.4151082359721626,1.0,0.9900589815573697,0.7491989778704233
NaiveBayes,0.09136886553419739,0.2506888579517387,0.3168337066651018,0.10890963429712287,0.047077340019524676,0.1506619607245279,0.5779734215472497,0.9900589815573697,1.0,0.7827394136630452
LightGBM,0.2562378058118382,0.32270722846679945,0.5616717304592916,0.2566764044388997,0.25455562180308877,0.4352262707056729,0.6588455969690951,0.7491989778704233,0.7827394136630452,1.0
