Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.747 ± 0.131,0.810 ± 0.155,0.631 ± 0.115,0.625 ± 0.085,0.649 ± 0.146,0.840 ± 0.168,0.711 ± 0.097,0.410 ± 0.241,12.400 ± 5.550
RandomForest,0.741 ± 0.084,0.784 ± 0.157,0.675 ± 0.102,0.670 ± 0.092,0.705 ± 0.144,0.774 ± 0.154,0.719 ± 0.096,0.567 ± 0.241,12.400 ± 5.550
KNN,0.740 ± 0.112,0.751 ± 0.184,0.651 ± 0.127,0.655 ± 0.081,0.674 ± 0.162,0.830 ± 0.194,0.716 ± 0.111,0.480 ± 0.254,12.400 ± 5.550
ExtraTrees,0.738 ± 0.095,0.788 ± 0.160,0.667 ± 0.103,0.674 ± 0.091,0.712 ± 0.127,0.720 ± 0.167,0.698 ± 0.107,0.629 ± 0.160,12.400 ± 5.550
LogisticRegression,0.716 ± 0.096,0.768 ± 0.133,0.654 ± 0.118,0.643 ± 0.133,0.680 ± 0.170,0.710 ± 0.159,0.687 ± 0.142,0.577 ± 0.194,12.400 ± 5.550
SVM_Linear,0.704 ± 0.115,0.754 ± 0.167,0.647 ± 0.136,0.630 ± 0.115,0.653 ± 0.153,0.806 ± 0.114,0.713 ± 0.125,0.455 ± 0.177,12.400 ± 5.550
XGBoost,0.701 ± 0.117,0.763 ± 0.169,0.667 ± 0.076,0.665 ± 0.094,0.702 ± 0.145,0.764 ± 0.161,0.712 ± 0.073,0.566 ± 0.223,12.400 ± 5.550
GradientBoosting,0.691 ± 0.088,0.733 ± 0.142,0.652 ± 0.069,0.653 ± 0.053,0.668 ± 0.133,0.832 ± 0.120,0.724 ± 0.046,0.475 ± 0.188,12.400 ± 5.550
NaiveBayes,0.669 ± 0.116,0.732 ± 0.093,0.572 ± 0.118,0.544 ± 0.124,0.588 ± 0.123,0.856 ± 0.105,0.687 ± 0.088,0.231 ± 0.201,12.400 ± 5.550
LightGBM,0.662 ± 0.119,0.723 ± 0.135,0.619 ± 0.120,0.630 ± 0.090,0.677 ± 0.184,0.734 ± 0.170,0.673 ± 0.108,0.525 ± 0.270,12.400 ± 5.550
