Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Mean_Specificity,Pooled_Specificity,Avg_Features,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Run_Name,Run_Dir
mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,LogisticRegression,0.6920019640852975,0.0632628157771179,0.6488165680473372,0.7253801185491838,0.6795757646203027,0.6176767676767676,0.6211538461538462,0.624731182795699,0.65625,0.5888888888888889,0.5961538461538461,10.8,35,5,1.542857142857143,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote
corr_elasticnet_auto_k,corr_elasticnet,auto,False,NaiveBayes,0.665131874298541,0.1172996339242084,0.5781065088757397,0.6881400716958974,0.6531974637604712,0.5504419191919192,0.5211538461538461,0.6260960960960961,0.6490066225165563,0.311111111111111,0.2884615384615384,13.6,37,4,1.837837837837838,corr_elasticnet_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/corr_elasticnet_auto_k_no_smote
elasticnet_only_auto_k,elasticnet_only,auto,False,NaiveBayes,0.661597923681257,0.0986554857103298,0.5816568047337279,0.6884644947509841,0.6377406951700046,0.5838257575757575,0.5653846153846154,0.6355188955188955,0.6524822695035462,0.3955555555555555,0.4230769230769231,8.0,20,5,2.0,elasticnet_only_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/elasticnet_only_auto_k_no_smote
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,KNN,0.6566294893378227,0.1372077701084564,0.6124260355029587,0.6632310316128919,0.6296452980588456,0.6341161616161616,0.625,0.6850495597408515,0.704225352112676,0.4977777777777777,0.4807692307692308,9.2,24,4,1.9166666666666667,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote
corr_lasso_auto_k,corr_lasso,auto,False,SVM_RBF,0.655415263748597,0.0881808439724164,0.5840236686390533,0.6947192580781698,0.639340899865809,0.5703030303030303,0.55,0.6205446166736489,0.6330935251798561,0.4133333333333333,0.4230769230769231,10.0,36,4,1.3888888888888888,corr_lasso_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/corr_lasso_auto_k_no_smote
corr_mrmr_then_elasticnet_auto_k,corr_mrmr_then_elasticnet,auto,False,NaiveBayes,0.6263313692480359,0.1720059170309839,0.5810650887573965,0.6950011880888667,0.6415931679795532,0.4859469696969697,0.4788461538461538,0.5671447918292237,0.6133333333333333,0.2755555555555555,0.25,12.0,36,4,1.6666666666666667,corr_mrmr_then_elasticnet_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/corr_mrmr_then_elasticnet_auto_k_no_smote
hier_mrmr_elasticnet_auto_k,hier_mrmr_elasticnet,auto,False,NaiveBayes,0.6263313692480359,0.1720059170309839,0.5810650887573965,0.6950011880888667,0.6415931679795532,0.4859469696969697,0.4788461538461538,0.5671447918292237,0.6133333333333333,0.2755555555555555,0.25,12.0,36,4,1.6666666666666667,hier_mrmr_elasticnet_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/hier_mrmr_elasticnet_auto_k_no_smote
mrmr_only_auto_k,mrmr_only,auto,False,SVM_Linear,0.6195650953984287,0.1288513635527837,0.5221893491124261,0.6691399183915923,0.574550940782456,0.5392550505050504,0.525,0.6673390439347886,0.6909090909090909,0.1955555555555555,0.173076923076923,10.4,35,4,1.4857142857142858,mrmr_only_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/mrmr_only_auto_k_no_smote
lasso_only_auto_k,lasso_only,auto,False,SVM_RBF,0.6183726150392816,0.128461960548686,0.5718934911242605,0.7034099611524162,0.648091908821707,0.5848358585858586,0.5846153846153846,0.6251629072681704,0.6618705035971223,0.4399999999999999,0.4615384615384615,7.2,24,5,1.5,lasso_only_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/lasso_only_auto_k_no_smote
corr_mrmr_auto_k,corr_mrmr,auto,False,LogisticRegression,0.5937766554433221,0.0798140562905077,0.6304733727810652,0.6453982196486019,0.6593120040833078,0.6134469696969698,0.5923076923076923,0.6622323042692254,0.6714285714285714,0.5222222222222223,0.4615384615384615,10.4,33,4,1.5757575757575757,corr_mrmr_auto_k_no_smote,nested_cv_outputs/Pre_M1/fs_method_comparison/corr_mrmr_auto_k_no_smote
