fold,n_estimators,max_depth,learning_rate,subsample
1,50,3,0.06571271013022326,0.8008335850362696
2,100,1,0.07772235382026987,0.8730704498200098
3,25,1,0.016584313263890035,0.9935871354122109
4,100,1,0.07772235382026987,0.8730704498200098
5,100,1,0.07772235382026987,0.8730704498200098
