Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,90,26,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 17, np.int64(0): 9}","['Post_D1_P1', 'Post_D1_P10', 'Post_D1_P16', 'Post_D1_P20', 'Post_D1_P22', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P31', 'Post_D1_P35', 'Post_D1_P4', 'Post_D1_P5']",SVM_RBF,0.7581699346405228,0.6538461538461539,0.630718954248366,0.8635952596562053,0.75,0.7058823529411765,0.7272727272727273,0.5555555555555556,0.4918692131844632,0.7151538461538461
2,1,2,100,repeated_stratified_group_kfold,98,18,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 44}","{np.int64(1): 10, np.int64(0): 8}","['Post_D1_P13', 'Post_D1_P14', 'Post_D1_P24', 'Post_D1_P26', 'Post_D1_P30', 'Post_D1_P33', 'Post_D1_P36', 'Post_D1_P40', 'Post_D1_P48', 'Post_D1_P7']",SVM_RBF,0.5875,0.6666666666666666,0.7,0.7735304972804972,1.0,0.4,0.5714285714285714,1.0,0.6506475092845921,0.6998823529411765
3,1,3,100,repeated_stratified_group_kfold,85,31,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 38}","{np.int64(1): 17, np.int64(0): 14}","['Post_D1_P15', 'Post_D1_P18', 'Post_D1_P27', 'Post_D1_P41', 'Post_D1_P43', 'Post_D1_P46', 'Post_D1_P50', 'Post_D1_P6', 'Post_D1_P9']",SVM_RBF,0.7689075630252101,0.6451612903225806,0.6512605042016807,0.8471750096258384,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.7142857142857143,0.6952679167815778,0.7499523809523809
4,1,4,100,repeated_stratified_group_kfold,87,29,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 40}","{np.int64(1): 17, np.int64(0): 12}","['Post_D1_P11', 'Post_D1_P12', 'Post_D1_P17', 'Post_D1_P19', 'Post_D1_P21', 'Post_D1_P29', 'Post_D1_P34', 'Post_D1_P37', 'Post_D1_P39']",SVM_RBF,0.7745098039215687,0.7241379310344828,0.6911764705882353,0.835051053927991,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.5,0.4552870418849775,0.367015873015873
5,1,5,100,repeated_stratified_group_kfold,104,12,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 61, np.int64(0): 43}","{np.int64(1): 3, np.int64(0): 9}","['Post_D1_P2', 'Post_D1_P23', 'Post_D1_P28', 'Post_D1_P32', 'Post_D1_P42', 'Post_D1_P44', 'Post_D1_P45', 'Post_D1_P47', 'Post_D1_P49']",SVM_RBF,0.6296296296296295,0.5,0.4444444444444444,0.5535714285714286,0.2,0.3333333333333333,0.25,0.5555555555555556,0.5709707932268011,0.7780909090909092
6,2,1,101,repeated_stratified_group_kfold,97,19,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 51, np.int64(0): 46}","{np.int64(1): 13, np.int64(0): 6}","['Post_D1_P1', 'Post_D1_P11', 'Post_D1_P17', 'Post_D1_P2', 'Post_D1_P23', 'Post_D1_P29', 'Post_D1_P30', 'Post_D1_P31', 'Post_D1_P40', 'Post_D1_P45', 'Post_D1_P49']",SVM_RBF,0.6794871794871794,0.6842105263157895,0.5897435897435898,0.8282951588381451,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.3333333333333333,0.4548619057555053,0.744
7,2,2,101,repeated_stratified_group_kfold,95,21,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 40}","{np.int64(1): 9, np.int64(0): 12}","['Post_D1_P16', 'Post_D1_P20', 'Post_D1_P24', 'Post_D1_P27', 'Post_D1_P37', 'Post_D1_P41', 'Post_D1_P42', 'Post_D1_P50', 'Post_D1_P6']",SVM_RBF,0.7962962962962963,0.6666666666666666,0.625,0.768845043845044,0.75,0.3333333333333333,0.4615384615384615,0.9166666666666666,0.6253688272006503,0.753090909090909
8,2,3,101,repeated_stratified_group_kfold,72,44,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 38, np.int64(0): 34}","{np.int64(1): 26, np.int64(0): 18}","['Post_D1_P14', 'Post_D1_P15', 'Post_D1_P18', 'Post_D1_P19', 'Post_D1_P21', 'Post_D1_P25', 'Post_D1_P3', 'Post_D1_P33', 'Post_D1_P34', 'Post_D1_P46', 'Post_D1_P48']",SVM_RBF,0.608974358974359,0.5454545454545454,0.4957264957264957,0.7580668766896295,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.2222222222222222,0.3578197452624293,0.8220542986425339
9,2,4,101,repeated_stratified_group_kfold,101,15,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 59, np.int64(0): 42}","{np.int64(0): 10, np.int64(1): 5}","['Post_D1_P10', 'Post_D1_P12', 'Post_D1_P13', 'Post_D1_P28', 'Post_D1_P32', 'Post_D1_P35', 'Post_D1_P36', 'Post_D1_P44', 'Post_D1_P47']",SVM_RBF,0.6400000000000001,0.6666666666666666,0.5,0.4966666666666666,0.0,0.0,0.0,1.0,0.780936890840406,0.6045263157894736
10,2,5,101,repeated_stratified_group_kfold,99,17,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 46}","{np.int64(1): 11, np.int64(0): 6}","['Post_D1_P22', 'Post_D1_P26', 'Post_D1_P39', 'Post_D1_P4', 'Post_D1_P43', 'Post_D1_P5', 'Post_D1_P7', 'Post_D1_P9']",SVM_RBF,0.5757575757575757,0.5294117647058824,0.4848484848484848,0.8059604833669005,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.3333333333333333,0.6380814648526715,0.6336103896103896
