Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
IH_IntensityHistogramMode_Intensity,IH_IntensityHistogramMode_Intensity,0.0591979471084883,4
Morph_Sphericity,Morph_Sphericity,0.042328172967315364,2
IB_MaximumIntensity,IB_MaximumIntensity,0.03371290567735647,3
IH_MinimumHistogramGradientGreyLevel_Intensity,IH_MinimumHistogramGradientGreyLevel_Intensity,0.0211155654355866,3
Morph_SphericalDisproportion,Morph_SphericalDisproportion,0.01819442458426631,4
Morph_Asphericity,Morph_Asphericity,0.01811244297945661,4
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.003580433425383295,3
Morph_IntegratedIntensity_Intensity,Morph_IntegratedIntensity_Intensity,0.0030958631822627755,3
IB_TotalLesionGlycolysis,IB_TotalLesionGlycolysis,0.0030831580473236293,2
IB_IntensityBasedEnergy,IB_IntensityBasedEnergy,0.0013542339761996164,2
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0.0,3
IH_IntensityHistogramMinimumGreyLevel_Intensity,IH_IntensityHistogramMinimumGreyLevel_Intensity,0.0,3
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.0,2
IB_MinimumIntensity,IB_MinimumIntensity,0.0,2
GLSZM_SmallZoneEmphasis,GLSZM_SmallZoneEmphasis,0.0,2
GLSZM_LargeZoneLowGreyLevelEmphasis,GLSZM_LargeZoneLowGreyLevelEmphasis,0.0,2
