Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.762 ± 0.081,0.816 ± 0.091,0.697 ± 0.089,0.714 ± 0.059,0.766 ± 0.147,0.675 ± 0.246,0.686 ± 0.141,0.752 ± 0.162,8.800 ± 5.020
SVM_Linear,0.751 ± 0.094,0.808 ± 0.094,0.688 ± 0.093,0.706 ± 0.042,0.724 ± 0.127,0.775 ± 0.225,0.718 ± 0.102,0.637 ± 0.168,8.800 ± 5.020
NaiveBayes,0.722 ± 0.089,0.767 ± 0.139,0.633 ± 0.039,0.597 ± 0.064,0.651 ± 0.087,0.746 ± 0.212,0.677 ± 0.082,0.449 ± 0.275,8.800 ± 5.020
SVM_RBF,0.719 ± 0.095,0.790 ± 0.089,0.696 ± 0.093,0.696 ± 0.051,0.725 ± 0.130,0.770 ± 0.236,0.719 ± 0.109,0.622 ± 0.213,8.800 ± 5.020
KNN,0.711 ± 0.065,0.734 ± 0.091,0.673 ± 0.117,0.658 ± 0.121,0.696 ± 0.080,0.761 ± 0.201,0.713 ± 0.100,0.555 ± 0.220,8.800 ± 5.020
ExtraTrees,0.699 ± 0.102,0.735 ± 0.157,0.674 ± 0.135,0.676 ± 0.105,0.723 ± 0.066,0.664 ± 0.260,0.669 ± 0.163,0.688 ± 0.122,8.800 ± 5.020
RandomForest,0.691 ± 0.084,0.731 ± 0.112,0.651 ± 0.060,0.642 ± 0.048,0.692 ± 0.104,0.656 ± 0.196,0.657 ± 0.116,0.628 ± 0.170,8.800 ± 5.020
GradientBoosting,0.666 ± 0.107,0.741 ± 0.108,0.617 ± 0.089,0.623 ± 0.099,0.675 ± 0.102,0.653 ± 0.185,0.644 ± 0.065,0.594 ± 0.181,8.800 ± 5.020
LightGBM,0.637 ± 0.132,0.701 ± 0.129,0.610 ± 0.141,0.611 ± 0.137,0.690 ± 0.130,0.560 ± 0.251,0.595 ± 0.146,0.662 ± 0.194,8.800 ± 5.020
XGBoost,0.618 ± 0.125,0.686 ± 0.154,0.591 ± 0.062,0.596 ± 0.072,0.643 ± 0.103,0.616 ± 0.135,0.616 ± 0.058,0.577 ± 0.131,8.800 ± 5.020
