Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,XGBoost,0.715,0.591875,0.12312499999999993,2.589064368549992,0.009623710340362373,✓,✓,0.4330669653163068,✗
LogisticRegression,ExtraTrees,0.715,0.6453125000000001,0.0696874999999999,2.396223824624751,0.016564971516246557,✓,✗,0.7454237182310951,✗
LogisticRegression,SVM_Linear,0.715,0.678125,0.03687499999999999,2.3278290578713627,0.019921182455400085,✓,✗,0.8964532104930039,✗
LogisticRegression,SVM_RBF,0.715,0.68125,0.03374999999999995,2.2540411190184737,0.024193581295612856,✓,✗,1.0,✗
KNN,XGBoost,0.69640625,0.591875,0.10453124999999996,2.2455552230536804,0.024732511296869465,✓,✗,1.0,✗
RandomForest,XGBoost,0.6771874999999999,0.591875,0.0853124999999999,2.1386464744146134,0.032464310599814146,✓,✗,1.0,✗
LogisticRegression,GradientBoosting,0.715,0.6514062500000001,0.0635937499999999,2.1153256689564857,0.03440220016441966,✓,✗,1.0,✗
LogisticRegression,LightGBM,0.715,0.6323437499999999,0.0826562500000001,1.96612564842495,0.04928409833588815,✓,✗,1.0,✗
SVM_RBF,XGBoost,0.68125,0.591875,0.08937499999999998,1.7479665968480658,0.08046981165366986,✗,✗,1.0,✗
SVM_Linear,XGBoost,0.678125,0.591875,0.08624999999999994,1.6850816658578394,0.0919728164129786,✗,✗,1.0,✗
KNN,ExtraTrees,0.69640625,0.6453125000000001,0.05109374999999994,1.4581547129351737,0.14479790333793413,✗,✗,1.0,✗
KNN,LightGBM,0.69640625,0.6323437499999999,0.06406250000000013,1.437122360568077,0.1506832286420276,✗,✗,1.0,✗
NaiveBayes,XGBoost,0.67421875,0.591875,0.08234374999999994,1.4238099411450347,0.15450149718619338,✗,✗,1.0,✗
GradientBoosting,XGBoost,0.6514062500000001,0.591875,0.059531250000000036,1.3735932213884183,0.16956800252317905,✗,✗,1.0,✗
SVM_RBF,ExtraTrees,0.68125,0.6453125000000001,0.035937499999999956,1.3645291742140357,0.17240107863594833,✗,✗,1.0,✗
RandomForest,LightGBM,0.6771874999999999,0.6323437499999999,0.04484375000000007,1.2367758074369757,0.2161703259690867,✗,✗,1.0,✗
LogisticRegression,NaiveBayes,0.715,0.67421875,0.04078124999999999,1.1792087346113196,0.23831506885007747,✗,✗,1.0,✗
LogisticRegression,RandomForest,0.715,0.6771874999999999,0.03781250000000003,1.1624634854248361,0.24504724854909266,✗,✗,1.0,✗
SVM_RBF,LightGBM,0.68125,0.6323437499999999,0.04890625000000015,1.161075088098157,0.24561136465741418,✗,✗,1.0,✗
KNN,GradientBoosting,0.69640625,0.6514062500000001,0.04499999999999993,1.1227836880385877,0.26152937480534255,✗,✗,1.0,✗
SVM_Linear,ExtraTrees,0.678125,0.6453125000000001,0.03281249999999991,1.1001966738946627,0.27124643948973703,✗,✗,1.0,✗
ExtraTrees,XGBoost,0.6453125000000001,0.591875,0.05343750000000003,1.0631822504359028,0.28769931007989136,✗,✗,1.0,✗
SVM_Linear,LightGBM,0.678125,0.6323437499999999,0.04578125000000011,1.0047872571211867,0.31499930113771657,✗,✗,1.0,✗
SVM_RBF,GradientBoosting,0.68125,0.6514062500000001,0.029843749999999947,0.9381910714933902,0.34814622596635203,✗,✗,1.0,✗
LightGBM,XGBoost,0.6323437499999999,0.591875,0.04046874999999983,0.9236962349772165,0.35564449291951716,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.678125,0.6514062500000001,0.026718749999999902,0.9031654148161223,0.36643811035995877,✗,✗,1.0,✗
ExtraTrees,RandomForest,0.6453125000000001,0.6771874999999999,-0.031874999999999876,-0.8873409981313829,0.37489533895835814,✗,✗,1.0,✗
NaiveBayes,LightGBM,0.67421875,0.6323437499999999,0.04187500000000011,0.8743511552372293,0.38192704883912176,✗,✗,1.0,✗
RandomForest,GradientBoosting,0.6771874999999999,0.6514062500000001,0.025781249999999867,0.8469531177371948,0.39702125352173623,✗,✗,1.0,✗
NaiveBayes,ExtraTrees,0.67421875,0.6453125000000001,0.02890624999999991,0.6855671965322775,0.49298607319403875,✗,✗,1.0,✗
LogisticRegression,KNN,0.715,0.69640625,0.018593749999999964,0.6194379071083513,0.5356279153379476,✗,✗,1.0,✗
NaiveBayes,KNN,0.67421875,0.69640625,-0.022187500000000027,-0.5667518369828894,0.5708827970101564,✗,✗,1.0,✗
GradientBoosting,LightGBM,0.6514062500000001,0.6323437499999999,0.019062500000000204,0.5638174734691273,0.5728783587838888,✗,✗,1.0,✗
KNN,RandomForest,0.69640625,0.6771874999999999,0.019218750000000062,0.5187374729986168,0.6039438261913832,✗,✗,1.0,✗
SVM_Linear,KNN,0.678125,0.69640625,-0.018281250000000027,-0.513049790549544,0.6079164921731672,✗,✗,1.0,✗
NaiveBayes,GradientBoosting,0.67421875,0.6514062500000001,0.022812499999999902,0.5068487879083569,0.6122609211021756,✗,✗,1.0,✗
SVM_RBF,KNN,0.68125,0.69640625,-0.015156249999999982,-0.46179590372886536,0.6442276886811156,✗,✗,1.0,✗
ExtraTrees,LightGBM,0.6453125000000001,0.6323437499999999,0.012968750000000195,0.3178353572664104,0.7506098290757711,✗,✗,1.0,✗
NaiveBayes,SVM_RBF,0.67421875,0.68125,-0.007031250000000044,-0.18266236532244073,0.8550629469899926,✗,✗,1.0,✗
ExtraTrees,GradientBoosting,0.6453125000000001,0.6514062500000001,-0.006093750000000009,-0.17473788711670116,0.8612855961301173,✗,✗,1.0,✗
