,SVM_Linear,LogisticRegression,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,NaiveBayes,GradientBoosting,XGBoost
SVM_Linear,0.0,-0.11860273433090159,2.0298694374737805,1.4509011695535672,0.856675213554694,3.1164168443815234,1.6201743691533403,1.2253273154701292,2.3611710934421137,1.8629585653359348
LogisticRegression,0.11860273433090159,0.0,2.0909166052856434,1.558150694252312,0.9726211360268949,2.9298392466564382,1.710178456232995,1.2136160301486694,2.462337025679268,1.994794789423385
SVM_RBF,-2.0298694374737805,-2.0909166052856434,0.0,0.5272190189752549,0.0,2.3444268139548394,0.7881956380221387,0.23998309353757932,1.7532693568150308,1.096315876548518
KNN,-1.4509011695535672,-1.558150694252312,-0.5272190189752549,0.0,-0.30162084415723506,1.5485832659403456,0.3846321027315268,-0.12352026257759766,1.328779842315014,0.7114444292885918
LightGBM,-0.856675213554694,-0.9726211360268949,-0.0,0.30162084415723506,0.0,1.5578062737582061,0.7159179979419967,0.1735736388206949,1.454386263787028,1.338239836616231
ExtraTrees,-3.1164168443815234,-2.9298392466564382,-2.3444268139548394,-1.5485832659403456,-1.5578062737582061,0.0,-1.4639278836912488,-1.5367295070200173,0.045485485447732885,-0.7114832805279292
RandomForest,-1.6201743691533403,-1.710178456232995,-0.7881956380221387,-0.3846321027315268,-0.7159179979419967,1.4639278836912488,0.0,-0.4427728941149289,1.4225766692873825,0.6044017047856685
NaiveBayes,-1.2253273154701292,-1.2136160301486694,-0.23998309353757932,0.12352026257759766,-0.1735736388206949,1.5367295070200173,0.4427728941149289,0.0,1.3898650626324334,0.743764403807697
GradientBoosting,-2.3611710934421137,-2.462337025679268,-1.7532693568150308,-1.328779842315014,-1.454386263787028,-0.045485485447732885,-1.4225766692873825,-1.3898650626324334,0.0,-0.7409136864527025
XGBoost,-1.8629585653359348,-1.994794789423385,-1.096315876548518,-0.7114444292885918,-1.338239836616231,0.7114832805279292,-0.6044017047856685,-0.743764403807697,0.7409136864527025,0.0
