,SVM_Linear,LogisticRegression,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,NaiveBayes,GradientBoosting,XGBoost
SVM_Linear,1.0,0.9055900989626362,0.04236981243814282,0.14680738220624545,0.39162440544022437,0.001830633018895333,0.10519482558576851,0.22045192054372897,0.018217323687679674,0.06246809601703972
LogisticRegression,0.9055900989626362,1.0,0.03653554029693547,0.119197529856577,0.33074163396962497,0.0033913739796643506,0.08723287826553767,0.22489438279998997,0.013803488996221998,0.046065265903166196
SVM_RBF,0.04236981243814282,0.03653554029693547,1.0,0.5980415026812734,1.0,0.019056350052136975,0.4305822801859077,0.8103433630824722,0.07955578281010907,0.2729405638196264
KNN,0.14680738220624545,0.119197529856577,0.5980415026812734,1.0,0.7629411162771349,0.12148193119630761,0.700510006034432,0.9016951299379254,0.1839206144351152,0.47680887532159877
LightGBM,0.39162440544022437,0.33074163396962497,1.0,0.7629411162771349,1.0,0.11927917835701998,0.47404198448687296,0.862200550683828,0.1458392460952171,0.18081826693209435
ExtraTrees,0.001830633018895333,0.0033913739796643506,0.019056350052136975,0.12148193119630761,0.11927917835701998,1.0,0.14321365376538425,0.12435956220094378,0.9637203438595552,0.47678480792188505
RandomForest,0.10519482558576851,0.08723287826553767,0.4305822801859077,0.700510006034432,0.47404198448687296,0.14321365376538425,1.0,0.6579300111768347,0.15485891129704818,0.5455766026247306
NaiveBayes,0.22045192054372897,0.22489438279998997,0.8103433630824722,0.9016951299379254,0.862200550683828,0.12435956220094378,0.6579300111768347,1.0,0.16456985649522904,0.45701901865555383
GradientBoosting,0.018217323687679674,0.013803488996221998,0.07955578281010907,0.1839206144351152,0.1458392460952171,0.9637203438595552,0.15485891129704818,0.16456985649522904,1.0,0.45874577643200576
XGBoost,0.06246809601703972,0.046065265903166196,0.2729405638196264,0.47680887532159877,0.18081826693209435,0.47678480792188505,0.5455766026247306,0.45701901865555383,0.45874577643200576,1.0
