Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
XGBoost,LogisticRegression,0.6203484549638396,0.4505752794214333,0.16977317554240634,4.350945893390791,1.35551501316943e-05,✓,✓,0.00028465815276558027,✓
LightGBM,LogisticRegression,0.62146614069691,0.4505752794214333,0.1708908612754767,4.229397027281512,2.3431849997793332e-05,✓,✓,0.00049206884995366,✓
ExtraTrees,LogisticRegression,0.5972715318869166,0.4505752794214333,0.14669625246548335,3.7202933334050985,0.00019899152128051081,✓,✓,0.004178821946890727,✓
SVM_Linear,LogisticRegression,0.5858809993425378,0.4505752794214333,0.13530571992110452,3.6304200495465064,0.0002829603459409127,✓,✓,0.005942167264759167,✓
SVM_RBF,LogisticRegression,0.5497534516765286,0.4505752794214333,0.09917817225509529,2.660365177758449,0.007805597040728132,✓,✓,0.16391753785529076,✗
NaiveBayes,LogisticRegression,0.5554076265614727,0.4505752794214333,0.10483234714003942,2.5789188962651113,0.009911005299731086,✓,✓,0.2081311112943528,✗
XGBoost,SVM_RBF,0.6203484549638396,0.5497534516765286,0.07059500328731105,2.456600155738151,0.014025869908125415,✓,✗,0.2945432680706337,✗
SVM_Linear,SVM_RBF,0.5858809993425378,0.5497534516765286,0.03612754766600923,2.273602058648092,0.02298992358057468,✓,✗,0.4827883951920683,✗
ExtraTrees,SVM_RBF,0.5972715318869166,0.5497534516765286,0.04751808021038806,2.218618224619225,0.026512708616872743,✓,✗,0.5567668809543276,✗
LightGBM,SVM_RBF,0.62146614069691,0.5497534516765286,0.07171268902038141,2.054592683340104,0.03991836296113763,✓,✗,0.8382856221838901,✗
XGBoost,NaiveBayes,0.6203484549638396,0.5554076265614727,0.06494082840236692,1.9709916944380863,0.04872482583032657,✓,✗,1.0,✗
LightGBM,NaiveBayes,0.62146614069691,0.5554076265614727,0.06605851413543729,1.8616352901724886,0.06265451542761644,✗,✗,1.0,✗
ExtraTrees,NaiveBayes,0.5972715318869166,0.5554076265614727,0.04186390532544393,1.555741473625084,0.11976958021151334,✗,✗,1.0,✗
XGBoost,SVM_Linear,0.6203484549638396,0.5858809993425378,0.034467455621301823,1.2833110629943834,0.1993831183440231,✗,✗,1.0,✗
SVM_Linear,NaiveBayes,0.5858809993425378,0.5554076265614727,0.0304733727810651,1.175670703901706,0.23972648982177513,✗,✗,1.0,✗
LightGBM,SVM_Linear,0.62146614069691,0.5858809993425378,0.035585141354372185,1.0778727825806271,0.28109053321834165,✗,✗,1.0,✗
ExtraTrees,XGBoost,0.5972715318869166,0.6203484549638396,-0.023076923076922995,-0.9529214830910208,0.34062985433424664,✗,✗,1.0,✗
ExtraTrees,LightGBM,0.5972715318869166,0.62146614069691,-0.024194608809993357,-0.7985520244440751,0.4245502155369142,✗,✗,1.0,✗
ExtraTrees,SVM_Linear,0.5972715318869166,0.5858809993425378,0.011390532544378829,0.5958653848362625,0.5512651593480576,✗,✗,1.0,✗
NaiveBayes,SVM_RBF,0.5554076265614727,0.5497534516765286,0.00565417488494413,0.19833774857361094,0.8427808191950299,✗,✗,1.0,✗
LightGBM,XGBoost,0.62146614069691,0.6203484549638396,0.0011176857330703616,0.05607394981636147,0.9552828963129487,✗,✗,1.0,✗
