,ExtraTrees,LightGBM,XGBoost,SVM_Linear,NaiveBayes,SVM_RBF,LogisticRegression
ExtraTrees,1.0,0.4245502155369142,0.34062985433424664,0.5512651593480576,0.11976958021151334,0.026512708616872743,0.00019899152128051081
LightGBM,0.4245502155369142,1.0,0.9552828963129487,0.28109053321834165,0.06265451542761644,0.03991836296113763,2.3431849997793332e-05
XGBoost,0.34062985433424664,0.9552828963129487,1.0,0.1993831183440231,0.04872482583032657,0.014025869908125415,1.35551501316943e-05
SVM_Linear,0.5512651593480576,0.28109053321834165,0.1993831183440231,1.0,0.23972648982177513,0.02298992358057468,0.0002829603459409127
NaiveBayes,0.11976958021151334,0.06265451542761644,0.04872482583032657,0.23972648982177513,1.0,0.8427808191950299,0.009911005299731086
SVM_RBF,0.026512708616872743,0.03991836296113763,0.014025869908125415,0.02298992358057468,0.8427808191950299,1.0,0.007805597040728132
LogisticRegression,0.00019899152128051081,2.3431849997793332e-05,1.35551501316943e-05,0.0002829603459409127,0.009911005299731086,0.007805597040728132,1.0
