Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.686 ± 0.155,0.733 ± 0.128,0.574 ± 0.118,0.577 ± 0.080,0.577 ± 0.246,0.578 ± 0.251,0.543 ± 0.210,0.576 ± 0.242,8.000 ± 0.000
LightGBM,0.677 ± 0.125,0.744 ± 0.126,0.567 ± 0.095,0.580 ± 0.103,0.585 ± 0.253,0.560 ± 0.206,0.542 ± 0.177,0.599 ± 0.271,8.000 ± 0.000
XGBoost,0.672 ± 0.148,0.731 ± 0.131,0.576 ± 0.097,0.609 ± 0.094,0.644 ± 0.209,0.651 ± 0.264,0.578 ± 0.162,0.567 ± 0.266,8.000 ± 0.000
SVM_Linear,0.668 ± 0.160,0.711 ± 0.152,0.568 ± 0.144,0.594 ± 0.092,0.604 ± 0.263,0.606 ± 0.302,0.539 ± 0.232,0.583 ± 0.303,8.000 ± 0.000
NaiveBayes,0.644 ± 0.135,0.692 ± 0.129,0.572 ± 0.151,0.580 ± 0.103,0.594 ± 0.258,0.624 ± 0.334,0.542 ± 0.257,0.537 ± 0.286,8.000 ± 0.000
SVM_RBF,0.628 ± 0.188,0.678 ± 0.186,0.565 ± 0.118,0.592 ± 0.089,0.551 ± 0.296,0.593 ± 0.342,0.512 ± 0.263,0.591 ± 0.326,8.000 ± 0.000
LogisticRegression,0.509 ± 0.038,0.547 ± 0.150,0.478 ± 0.169,0.502 ± 0.008,0.404 ± 0.263,0.791 ± 0.411,0.520 ± 0.304,0.213 ± 0.410,8.000 ± 0.000
