Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
NaiveBayes,0.665 ± 0.054,0.693 ± 0.126,0.572 ± 0.094,0.583 ± 0.090,0.594 ± 0.150,0.758 ± 0.217,0.635 ± 0.101,0.409 ± 0.263,9.600 ± 5.550
LogisticRegression,0.616 ± 0.074,0.652 ± 0.169,0.587 ± 0.084,0.607 ± 0.084,0.635 ± 0.151,0.570 ± 0.136,0.582 ± 0.087,0.644 ± 0.104,9.600 ± 5.550
RandomForest,0.615 ± 0.090,0.668 ± 0.167,0.612 ± 0.058,0.641 ± 0.077,0.651 ± 0.154,0.667 ± 0.197,0.631 ± 0.070,0.616 ± 0.129,9.600 ± 5.550
GradientBoosting,0.608 ± 0.053,0.665 ± 0.138,0.618 ± 0.085,0.621 ± 0.067,0.629 ± 0.151,0.690 ± 0.126,0.644 ± 0.114,0.553 ± 0.086,9.600 ± 5.550
XGBoost,0.603 ± 0.087,0.652 ± 0.153,0.543 ± 0.102,0.563 ± 0.080,0.579 ± 0.167,0.598 ± 0.167,0.565 ± 0.132,0.529 ± 0.136,9.600 ± 5.550
SVM_RBF,0.600 ± 0.082,0.627 ± 0.130,0.568 ± 0.058,0.579 ± 0.081,0.603 ± 0.160,0.683 ± 0.197,0.612 ± 0.065,0.476 ± 0.292,9.600 ± 5.550
SVM_Linear,0.592 ± 0.072,0.642 ± 0.161,0.558 ± 0.105,0.569 ± 0.112,0.585 ± 0.146,0.613 ± 0.169,0.582 ± 0.109,0.524 ± 0.129,9.600 ± 5.550
KNN,0.586 ± 0.107,0.642 ± 0.098,0.549 ± 0.065,0.551 ± 0.059,0.565 ± 0.126,0.767 ± 0.177,0.630 ± 0.085,0.336 ± 0.165,9.600 ± 5.550
ExtraTrees,0.576 ± 0.136,0.653 ± 0.083,0.545 ± 0.085,0.557 ± 0.103,0.589 ± 0.140,0.598 ± 0.121,0.573 ± 0.063,0.516 ± 0.198,9.600 ± 5.550
LightGBM,0.570 ± 0.091,0.628 ± 0.164,0.522 ± 0.105,0.541 ± 0.098,0.560 ± 0.149,0.526 ± 0.187,0.519 ± 0.131,0.556 ± 0.121,9.600 ± 5.550
