Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.728 ± 0.127,0.742 ± 0.152,0.609 ± 0.100,0.645 ± 0.097,0.696 ± 0.184,0.585 ± 0.254,0.577 ± 0.136,0.706 ± 0.231,10.000 ± 0.000
ExtraTrees,0.725 ± 0.159,0.747 ± 0.146,0.574 ± 0.120,0.616 ± 0.118,0.655 ± 0.185,0.539 ± 0.271,0.533 ± 0.150,0.693 ± 0.187,10.000 ± 0.000
NaiveBayes,0.709 ± 0.129,0.748 ± 0.156,0.552 ± 0.140,0.562 ± 0.119,0.578 ± 0.227,0.669 ± 0.261,0.578 ± 0.184,0.455 ± 0.311,10.000 ± 0.000
LightGBM,0.694 ± 0.171,0.745 ± 0.148,0.590 ± 0.160,0.629 ± 0.123,0.684 ± 0.230,0.583 ± 0.251,0.568 ± 0.193,0.674 ± 0.279,10.000 ± 0.000
XGBoost,0.678 ± 0.135,0.695 ± 0.164,0.535 ± 0.095,0.579 ± 0.078,0.605 ± 0.202,0.602 ± 0.299,0.523 ± 0.177,0.555 ± 0.273,10.000 ± 0.000
SVM_Linear,0.677 ± 0.146,0.697 ± 0.189,0.604 ± 0.073,0.629 ± 0.092,0.665 ± 0.194,0.631 ± 0.225,0.600 ± 0.102,0.627 ± 0.264,10.000 ± 0.000
LogisticRegression,0.499 ± 0.002,0.529 ± 0.169,0.434 ± 0.156,0.500 ± 0.000,0.347 ± 0.252,0.733 ± 0.458,0.461 ± 0.313,0.267 ± 0.458,10.000 ± 0.000
