Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
GradientBoosting,0.6048,+0.1512,7.17e-03,3.22e-01,✓,✗
ExtraTrees,0.6897,+0.0662,2.57e-01,1.00e+00,✗,✗
NaiveBayes,0.6955,+0.0605,1.87e-01,1.00e+00,✗,✗
RandomForest,0.6998,+0.0562,6.92e-01,1.00e+00,✗,✗
LogisticRegression,0.7158,+0.0402,4.23e-01,1.00e+00,✗,✗
XGBoost,0.7181,+0.0379,9.53e-01,1.00e+00,✗,✗
LightGBM,0.7231,+0.0329,1.98e-01,1.00e+00,✗,✗
KNN,0.7359,+0.0201,6.83e-01,1.00e+00,✗,✗
SVM_Linear,0.7386,+0.0174,3.48e-01,1.00e+00,✗,✗
