metric,mean,std,min,max,pooled
AUC,0.643715371992884,0.05968463930696993,0.5583333333333333,0.7416666666666667,0.6228125
PR_AUC,0.6989754153353394,0.09514004628272385,0.5832399626517273,0.8527299426188382,0.6804637321381075
Accuracy,0.6288030809769941,0.08911872201511575,0.46153846153846156,0.7272727272727273,0.6228070175438597
Bal_Accuracy,0.611798625351257,0.08545169252633707,0.49624060150375937,0.7166666666666667,0.61375
F1_Score,0.6673504273504273,0.07845837283895699,0.5333333333333333,0.7777777777777778,0.6717557251908397
Precision,0.6654545454545454,0.06633111144305431,0.5833333333333334,0.75,0.6567164179104478
Recall,0.7100691121743753,0.17986965756257164,0.42105263157894735,0.9333333333333333,0.6875
