,SVM_RBF,SVM_Linear,LogisticRegression,XGBoost,ExtraTrees,RandomForest,LightGBM,GradientBoosting,KNN,NaiveBayes
SVM_RBF,1.0,0.7637839622957224,0.39948840430790655,0.3445241457622704,0.2297011997067857,0.19475877852252022,0.20640520517382854,0.24732452197829513,0.08576309721628282,8.193974042633578e-05
SVM_Linear,0.7637839622957224,1.0,0.27325377063355716,0.48169539961188734,0.41196326395222616,0.34806657556592346,0.2746442353984484,0.3646665950740954,0.12176671085110731,0.00024353746910495982
LogisticRegression,0.39948840430790655,0.27325377063355716,1.0,0.6486824655131396,0.6269106547649644,0.5085603995346226,0.3680796287632797,0.5301204177700132,0.19467196883228166,0.0005107902052560817
XGBoost,0.3445241457622704,0.48169539961188734,0.6486824655131396,1.0,0.9152890383354491,0.780113282842783,0.4404833939400735,0.8464827965111131,0.4633003029477152,0.017845306389876775
ExtraTrees,0.2297011997067857,0.41196326395222616,0.6269106547649644,0.9152890383354491,1.0,0.694114843392243,0.4749404585475968,0.7495124135683301,0.38637118329188347,0.003635894443469658
RandomForest,0.19475877852252022,0.34806657556592346,0.5085603995346226,0.780113282842783,0.694114843392243,1.0,0.5668080192633911,0.9110741913278662,0.5957568539439015,0.03294025281805925
LightGBM,0.20640520517382854,0.2746442353984484,0.3680796287632797,0.4404833939400735,0.4749404585475968,0.5668080192633911,1.0,0.49542368084422805,0.9926392628739512,0.18225641771558787
GradientBoosting,0.24732452197829513,0.3646665950740954,0.5301204177700132,0.8464827965111131,0.7495124135683301,0.9110741913278662,0.49542368084422805,1.0,0.5362214279526949,0.023838916852382524
KNN,0.08576309721628282,0.12176671085110731,0.19467196883228166,0.4633003029477152,0.38637118329188347,0.5957568539439015,0.9926392628739512,0.5362214279526949,1.0,0.08767148455192023
NaiveBayes,8.193974042633578e-05,0.00024353746910495982,0.0005107902052560817,0.017845306389876775,0.003635894443469658,0.03294025281805925,0.18225641771558787,0.023838916852382524,0.08767148455192023,1.0
