Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.723 ± 0.090,0.772 ± 0.133,0.676 ± 0.064,0.683 ± 0.049,0.704 ± 0.150,0.815 ± 0.192,0.727 ± 0.078,0.551 ± 0.204,9.200 ± 5.586
SVM_Linear,0.717 ± 0.077,0.781 ± 0.123,0.679 ± 0.093,0.686 ± 0.070,0.701 ± 0.182,0.820 ± 0.165,0.730 ± 0.098,0.551 ± 0.236,9.200 ± 5.586
LogisticRegression,0.713 ± 0.059,0.765 ± 0.125,0.675 ± 0.053,0.685 ± 0.038,0.713 ± 0.154,0.756 ± 0.154,0.711 ± 0.076,0.613 ± 0.176,9.200 ± 5.586
KNN,0.694 ± 0.102,0.721 ± 0.172,0.593 ± 0.120,0.587 ± 0.049,0.624 ± 0.148,0.763 ± 0.232,0.656 ± 0.134,0.411 ± 0.225,9.200 ± 5.586
NaiveBayes,0.681 ± 0.112,0.742 ± 0.106,0.563 ± 0.083,0.564 ± 0.122,0.634 ± 0.133,0.692 ± 0.237,0.622 ± 0.090,0.436 ± 0.309,9.200 ± 5.586
LightGBM,0.675 ± 0.144,0.717 ± 0.202,0.662 ± 0.148,0.665 ± 0.131,0.715 ± 0.206,0.639 ± 0.181,0.663 ± 0.168,0.691 ± 0.186,9.200 ± 5.586
RandomForest,0.670 ± 0.080,0.719 ± 0.159,0.626 ± 0.082,0.629 ± 0.084,0.681 ± 0.179,0.593 ± 0.202,0.618 ± 0.149,0.665 ± 0.174,9.200 ± 5.586
GradientBoosting,0.665 ± 0.083,0.706 ± 0.163,0.626 ± 0.038,0.627 ± 0.054,0.676 ± 0.159,0.685 ± 0.135,0.662 ± 0.076,0.569 ± 0.198,9.200 ± 5.586
XGBoost,0.655 ± 0.099,0.727 ± 0.156,0.577 ± 0.119,0.566 ± 0.136,0.642 ± 0.201,0.607 ± 0.152,0.607 ± 0.135,0.524 ± 0.296,9.200 ± 5.586
ExtraTrees,0.653 ± 0.070,0.718 ± 0.134,0.582 ± 0.055,0.596 ± 0.059,0.662 ± 0.161,0.633 ± 0.150,0.618 ± 0.062,0.560 ± 0.227,9.200 ± 5.586
