,KNN,ExtraTrees,LogisticRegression,RandomForest,NaiveBayes,GradientBoosting,LightGBM,XGBoost,SVM_RBF,SVM_Linear
KNN,0.0,0.5931360648410459,-0.6116642089559753,0.1915813487646807,1.7703071494655087,0.8812781788095693,0.9738273113007236,1.2876992796298217,1.1597890463774208,2.960578773067965
ExtraTrees,-0.5931360648410459,0.0,-0.9999624919992133,-0.3777054195380022,1.7015814819445378,0.41135812632287944,0.5907040935986876,0.941261557749765,0.6695529670599809,3.002663653426388
LogisticRegression,0.6116642089559753,0.9999624919992133,0.0,0.787185230490108,2.287218859507008,1.3557721704572108,1.3397924930308216,1.7220397000671412,1.7728922931112718,3.048730450955989
RandomForest,-0.1915813487646807,0.3777054195380022,-0.787185230490108,0.0,1.5952176923136514,0.8557257002869825,1.0744072794018649,1.5550073893004344,0.8828081761880484,2.5832396066392724
NaiveBayes,-1.7703071494655087,-1.7015814819445378,-2.287218859507008,-1.5952176923136514,0.0,-1.1535353080354798,-0.9160285237495478,-0.5720202855169081,-0.6870422616815114,1.0192752763312216
GradientBoosting,-0.8812781788095693,-0.41135812632287944,-1.3557721704572108,-0.8557257002869825,1.1535353080354798,0.0,0.306881711459038,0.9869881522652275,0.39343652090665765,2.616587950598609
LightGBM,-0.9738273113007236,-0.5907040935986876,-1.3397924930308216,-1.0744072794018649,0.9160285237495478,-0.306881711459038,0.0,0.582304420016028,0.1710686023535719,1.7753747381929987
XGBoost,-1.2876992796298217,-0.941261557749765,-1.7220397000671412,-1.5550073893004344,0.5720202855169081,-0.9869881522652275,-0.582304420016028,0.0,-0.1456369154804715,1.5402463369399741
SVM_RBF,-1.1597890463774208,-0.6695529670599809,-1.7728922931112718,-0.8828081761880484,0.6870422616815114,-0.39343652090665765,-0.1710686023535719,0.1456369154804715,0.0,1.529360306771464
SVM_Linear,-2.960578773067965,-3.002663653426388,-3.048730450955989,-2.5832396066392724,-1.0192752763312216,-2.616587950598609,-1.7753747381929987,-1.5402463369399741,-1.529360306771464,0.0
