,KNN,ExtraTrees,LogisticRegression,RandomForest,NaiveBayes,GradientBoosting,LightGBM,XGBoost,SVM_RBF,SVM_Linear
KNN,1.0,0.5530900961966471,0.540759946581847,0.8480701534083188,0.07667598771743454,0.3781672738367877,0.33014229001325224,0.19785066444014665,0.2461347048552266,0.0030706158604183087
ExtraTrees,0.5530900961966471,1.0,0.31732865987958203,0.7056494413334583,0.08883385132924558,0.680809953516168,0.5547187046433466,0.3465708376893323,0.5031428048618765,0.0026762803563813186
LogisticRegression,0.540759946581847,0.31732865987958203,1.0,0.4311734418637798,0.022183051750808393,0.17517166850631782,0.18031281692226397,0.08506232709811454,0.07624655597263716,0.002298105771521706
RandomForest,0.8480701534083188,0.7056494413334583,0.4311734418637798,1.0,0.11066356372278352,0.39214952109315837,0.28264018133390667,0.1199443094861373,0.3773399221645042,0.009787732090351923
NaiveBayes,0.07667598771743454,0.08883385132924558,0.022183051750808393,0.11066356372278352,1.0,0.24869073395536867,0.3596519345368152,0.5673082318122239,0.49205609703946884,0.3080722980616146
GradientBoosting,0.3781672738367877,0.680809953516168,0.17517166850631782,0.39214952109315837,0.24869073395536867,1.0,0.758933409986504,0.323648446774669,0.6939971002137733,0.008881348080031453
LightGBM,0.33014229001325224,0.5547187046433466,0.18031281692226397,0.28264018133390667,0.3596519345368152,0.758933409986504,1.0,0.5603616488010704,0.8641698236098037,0.07583603229524871
XGBoost,0.19785066444014665,0.3465708376893323,0.08506232709811454,0.1199443094861373,0.5673082318122239,0.323648446774669,0.5603616488010704,1.0,0.8842080243285888,0.12350031893321141
SVM_RBF,0.2461347048552266,0.5031428048618765,0.07624655597263716,0.3773399221645042,0.49205609703946884,0.6939971002137733,0.8641698236098037,0.8842080243285888,1.0,0.12617514686555728
SVM_Linear,0.0030706158604183087,0.0026762803563813186,0.002298105771521706,0.009787732090351923,0.3080722980616146,0.008881348080031453,0.07583603229524871,0.12350031893321141,0.12617514686555728,1.0
