Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
SVM_Linear,0.5543,+0.1898,3.07e-03,1.38e-01,✓,✗
SVM_RBF,0.5559,+0.1883,2.46e-01,1.00e+00,✗,✗
XGBoost,0.6551,+0.0891,1.98e-01,1.00e+00,✗,✗
LightGBM,0.6633,+0.0809,3.30e-01,1.00e+00,✗,✗
GradientBoosting,0.6926,+0.0516,3.78e-01,1.00e+00,✗,✗
NaiveBayes,0.6965,+0.0477,7.67e-02,1.00e+00,✗,✗
RandomForest,0.7028,+0.0414,8.48e-01,1.00e+00,✗,✗
LogisticRegression,0.7218,+0.0224,5.41e-01,1.00e+00,✗,✗
ExtraTrees,0.7296,+0.0146,5.53e-01,1.00e+00,✗,✗
