Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.744 ± 0.052,0.748 ± 0.097,0.678 ± 0.064,0.697 ± 0.033,0.719 ± 0.168,0.792 ± 0.212,0.716 ± 0.084,0.601 ± 0.237,11.200 ± 4.817
ExtraTrees,0.730 ± 0.038,0.747 ± 0.090,0.664 ± 0.133,0.680 ± 0.057,0.747 ± 0.154,0.652 ± 0.308,0.644 ± 0.186,0.709 ± 0.208,11.200 ± 4.817
LogisticRegression,0.722 ± 0.120,0.758 ± 0.152,0.690 ± 0.152,0.697 ± 0.104,0.723 ± 0.105,0.733 ± 0.232,0.707 ± 0.147,0.660 ± 0.115,11.200 ± 4.817
RandomForest,0.703 ± 0.076,0.728 ± 0.093,0.661 ± 0.048,0.657 ± 0.037,0.708 ± 0.119,0.701 ± 0.204,0.679 ± 0.084,0.614 ± 0.248,11.200 ± 4.817
NaiveBayes,0.696 ± 0.128,0.745 ± 0.162,0.585 ± 0.113,0.531 ± 0.095,0.571 ± 0.123,0.919 ± 0.131,0.700 ± 0.116,0.143 ± 0.123,11.200 ± 4.817
GradientBoosting,0.693 ± 0.096,0.738 ± 0.088,0.689 ± 0.103,0.691 ± 0.076,0.720 ± 0.129,0.804 ± 0.225,0.728 ± 0.102,0.579 ± 0.261,11.200 ± 4.817
LightGBM,0.663 ± 0.132,0.677 ± 0.163,0.627 ± 0.089,0.640 ± 0.036,0.712 ± 0.175,0.631 ± 0.262,0.622 ± 0.140,0.649 ± 0.262,11.200 ± 4.817
XGBoost,0.655 ± 0.075,0.707 ± 0.099,0.662 ± 0.081,0.644 ± 0.066,0.681 ± 0.090,0.767 ± 0.198,0.703 ± 0.078,0.522 ± 0.211,11.200 ± 4.817
SVM_RBF,0.556 ± 0.191,0.617 ± 0.195,0.662 ± 0.139,0.609 ± 0.124,0.627 ± 0.151,0.823 ± 0.212,0.709 ± 0.170,0.394 ± 0.238,11.200 ± 4.817
SVM_Linear,0.554 ± 0.312,0.655 ± 0.209,0.587 ± 0.107,0.604 ± 0.110,0.645 ± 0.219,0.884 ± 0.259,0.687 ± 0.093,0.324 ± 0.421,11.200 ± 4.817
