Metric,Value
ROC-AUC,0.7238095238095238
PR-AUC,0.7923769751127538
Balanced Acc.,0.5947619047619048
Sensitivity,0.8095238095238095
Specificity,0.38
PPV,0.6219512195121951
NPV,0.6129032258064516
Kappa,0.19725755823558566
