fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.5802469135802469,0.7328984141264843,0.5185185185185185,0.5555555555555556,0.5517241379310345,0.7272727272727273,0.4444444444444444,12
2,0.6161616161616161,0.7389166389166391,0.6,0.606060606060606,0.6,0.6666666666666666,0.5454545454545454,4
3,0.6458333333333334,0.6506064836431684,0.6451612903225806,0.64375,0.6666666666666666,0.6470588235294118,0.6875,6
4,0.34375,0.5577089338493127,0.4230769230769231,0.38125,0.5454545454545454,0.5294117647058824,0.5625,18
5,0.6944444444444444,0.5861111111111111,0.5384615384615384,0.5972222222222222,0.5,0.375,0.75,8
