,SVM_RBF,LogisticRegression,SVM_Linear,XGBoost,NaiveBayes,LightGBM,ExtraTrees,GradientBoosting,RandomForest,KNN
SVM_RBF,1.0,0.5345896302272752,0.8955621249255128,0.7583789250506076,0.7876124814288604,0.48080660664070785,0.329025713784561,0.17679623916234388,0.12686013311562724,0.002345051883467858
LogisticRegression,0.5345896302272752,1.0,0.3608639866858946,0.5203723520009738,0.9619327643959081,0.26503253007214644,0.1582935847903052,0.07614028590001223,0.028223789785376555,0.0018915493955729392
SVM_Linear,0.8955621249255128,0.3608639866858946,1.0,0.7222044893703059,0.8255953205954307,0.4357071057633377,0.294974333897418,0.13057785398511562,0.0956126842120315,0.0024081665259798393
XGBoost,0.7583789250506076,0.5203723520009738,0.7222044893703059,1.0,0.6647570201199431,0.5699095401538141,0.6474502217764342,0.2475758651313974,0.2949344934887439,0.034825689598590434
NaiveBayes,0.7876124814288604,0.9619327643959081,0.8255953205954307,0.6647570201199431,1.0,0.48231993835962217,0.38999092965529525,0.21081541605541265,0.25666833942138767,0.01813358503794557
LightGBM,0.48080660664070785,0.26503253007214644,0.4357071057633377,0.5699095401538141,0.48231993835962217,1.0,0.9588314238438108,0.4285920845409926,0.52574031825922,0.0878379574338679
ExtraTrees,0.329025713784561,0.1582935847903052,0.294974333897418,0.6474502217764342,0.38999092965529525,0.9588314238438108,1.0,0.3931015066719884,0.5515008451137462,0.07266976327820578
GradientBoosting,0.17679623916234388,0.07614028590001223,0.13057785398511562,0.2475758651313974,0.21081541605541265,0.4285920845409926,0.3931015066719884,1.0,0.6854408452263248,0.27289855693629794
RandomForest,0.12686013311562724,0.028223789785376555,0.0956126842120315,0.2949344934887439,0.25666833942138767,0.52574031825922,0.5515008451137462,0.6854408452263248,1.0,0.1291895513775911
KNN,0.002345051883467858,0.0018915493955729392,0.0024081665259798393,0.034825689598590434,0.01813358503794557,0.0878379574338679,0.07266976327820578,0.27289855693629794,0.1291895513775911,1.0
