,SVM_RBF,LogisticRegression,SVM_Linear,XGBoost,NaiveBayes,LightGBM,ExtraTrees,GradientBoosting,RandomForest,KNN
SVM_RBF,0.0,-0.6210151878609007,-0.13126949181699174,0.30761024309974166,-0.26941222269123943,0.7050058322740467,0.9760781994365031,1.350685374872161,1.5266015028106898,3.0426496425855287
LogisticRegression,0.6210151878609007,0.0,0.9137200103552516,0.6427715410071261,0.0477283191527264,1.114575136122455,1.4108339384856576,1.7735338624934043,2.19416165984342,3.1067521130151743
SVM_Linear,0.13126949181699174,-0.9137200103552516,0.0,0.35551409240391546,-0.2203541887494618,0.7794628627875744,1.0472715928907614,1.5118270975078036,1.6665059494202263,3.034647894148706
XGBoost,-0.30761024309974166,-0.6427715410071261,-0.35551409240391546,0.0,-0.4333548168252212,0.568184728279589,0.4573072466482651,1.1562574548167608,1.0473580032170826,2.110379397651465
NaiveBayes,0.26941222269123943,-0.0477283191527264,0.2203541887494618,0.4333548168252212,0.0,0.7025761366102765,0.8596338134888525,1.2513264037872545,1.1343009294868678,2.3628790837359412
LightGBM,-0.7050058322740467,-1.114575136122455,-0.7794628627875744,-0.568184728279589,-0.7025761366102765,0.0,0.05162007410035009,0.7916031930238938,0.6345218401216789,1.7069144347914127
ExtraTrees,-0.9760781994365031,-1.4108339384856576,-1.0472715928907614,-0.4573072466482651,-0.8596338134888525,-0.05162007410035009,0.0,0.8540062856145805,0.5955126511030271,1.7948991884287768
GradientBoosting,-1.350685374872161,-1.7735338624934043,-1.5118270975078036,-1.1562574548167608,-1.2513264037872545,-0.7916031930238938,-0.8540062856145805,0.0,-0.4050498817989672,1.0964119037726539
RandomForest,-1.5266015028106898,-2.19416165984342,-1.6665059494202263,-1.0473580032170826,-1.1343009294868678,-0.6345218401216789,-0.5955126511030271,0.4050498817989672,0.0,1.517305574729232
KNN,-3.0426496425855287,-3.1067521130151743,-3.034647894148706,-2.110379397651465,-2.3628790837359412,-1.7069144347914127,-1.7948991884287768,-1.0964119037726539,-1.517305574729232,0.0
