Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.686 ± 0.130,0.718 ± 0.186,0.633 ± 0.126,0.640 ± 0.094,0.657 ± 0.167,0.773 ± 0.181,0.681 ± 0.105,0.508 ± 0.247,8.000 ± 0.000
LightGBM,0.663 ± 0.135,0.691 ± 0.179,0.609 ± 0.095,0.610 ± 0.108,0.635 ± 0.166,0.687 ± 0.229,0.629 ± 0.144,0.533 ± 0.223,8.000 ± 0.000
SVM_Linear,0.646 ± 0.181,0.700 ± 0.168,0.592 ± 0.150,0.613 ± 0.099,0.605 ± 0.258,0.697 ± 0.264,0.609 ± 0.212,0.529 ± 0.282,8.000 ± 0.000
ExtraTrees,0.635 ± 0.152,0.667 ± 0.191,0.646 ± 0.146,0.644 ± 0.118,0.667 ± 0.241,0.631 ± 0.320,0.602 ± 0.244,0.658 ± 0.215,8.000 ± 0.000
NaiveBayes,0.631 ± 0.189,0.694 ± 0.206,0.506 ± 0.129,0.554 ± 0.137,0.614 ± 0.248,0.516 ± 0.313,0.486 ± 0.190,0.592 ± 0.309,8.000 ± 0.000
XGBoost,0.598 ± 0.122,0.649 ± 0.171,0.572 ± 0.105,0.578 ± 0.109,0.596 ± 0.169,0.691 ± 0.236,0.608 ± 0.151,0.464 ± 0.217,8.000 ± 0.000
LogisticRegression,0.500 ± 0.000,0.548 ± 0.169,0.522 ± 0.175,0.500 ± 0.000,0.368 ± 0.311,0.667 ± 0.488,0.462 ± 0.365,0.333 ± 0.488,8.000 ± 0.000
