,SVM_RBF,LightGBM,SVM_Linear,ExtraTrees,NaiveBayes,XGBoost,LogisticRegression
SVM_RBF,1.0,0.3823764792582368,0.04765283716005055,0.27103175307442706,0.00018992689839737736,0.0016984747620641062,0.00945986874768387
LightGBM,0.3823764792582368,1.0,0.997743484770543,0.76142291176186,0.035327837849275685,0.011863336681125169,0.03866886458297616
SVM_Linear,0.04765283716005055,0.997743484770543,1.0,0.677801268128897,0.008049211191804942,0.031875220244053086,0.04166754681313926
ExtraTrees,0.27103175307442706,0.76142291176186,0.677801268128897,1.0,0.0036218875983593506,0.007737789610276064,0.03198454133351201
NaiveBayes,0.00018992689839737736,0.035327837849275685,0.008049211191804942,0.0036218875983593506,1.0,0.5933825514908244,0.7343624739951984
XGBoost,0.0016984747620641062,0.011863336681125169,0.031875220244053086,0.007737789610276064,0.5933825514908244,1.0,0.47066006974508257
LogisticRegression,0.00945986874768387,0.03866886458297616,0.04166754681313926,0.03198454133351201,0.7343624739951984,0.47066006974508257,1.0
