fold,C,l1_ratio
1,0.11098597581779399,0.7865221595218694
2,0.07836176854507024,0.6047217853361246
3,0.004989653216697847,0.8447761323199037
4,0.3675257878593652,0.20920212211718958
5,0.12566772874745027,0.36226487599015755
6,0.38509371095157363,0.013915058798529306
7,0.00010444205893399793,0.12156912078311422
8,0.11766486192506465,0.551290230807066
9,0.05093210962130119,0.18819983332609463
10,0.3675257878593652,0.20920212211718958
11,0.3675257878593652,0.20920212211718958
12,0.004989653216697847,0.8447761323199037
13,0.10585943824711289,0.6656729422360537
14,0.08709254269268107,0.45424867188691603
15,0.012548767232904618,0.3029601942136442
16,0.08210813807018857,0.20041077828507248
17,0.3675257878593652,0.20920212211718958
18,0.18403439376954148,0.2740737470416992
19,0.3675257878593652,0.20920212211718958
20,0.02272104075832301,0.5847261088615244
21,0.014914880124867256,0.27836938509379616
22,0.12566772874745027,0.36226487599015755
23,0.10193667863592919,0.31909346773427916
24,0.00010444205893399793,0.12156912078311422
25,0.3675257878593652,0.20920212211718958
26,0.1764950771205521,0.1719410127325942
27,0.04475735166543992,0.0012376283930854784
28,0.21851621070299868,0.5827964134850443
29,0.3675257878593652,0.20920212211718958
30,0.12566772874745027,0.36226487599015755
31,0.040334178905666575,0.0068541127071058035
32,0.3675257878593652,0.20920212211718958
33,0.06360661798551492,0.5827964134850443
34,0.3675257878593652,0.20920212211718958
35,0.18403439376954148,0.2740737470416992
36,0.11098597581779399,0.39759206674164627
37,0.10194622686109,0.6017764636723744
38,0.1764950771205521,0.1719410127325942
39,0.004989653216697847,0.8447761323199037
40,0.3675257878593652,0.20920212211718958
