Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.761 ± 0.137,0.816 ± 0.043,0.642 ± 0.128,0.681 ± 0.048,0.719 ± 0.262,0.739 ± 0.231,0.660 ± 0.137,0.622 ± 0.303,5.600 ± 2.608
ExtraTrees,0.757 ± 0.105,0.812 ± 0.043,0.638 ± 0.064,0.670 ± 0.038,0.723 ± 0.227,0.660 ± 0.293,0.614 ± 0.141,0.681 ± 0.228,5.600 ± 2.608
LogisticRegression,0.752 ± 0.101,0.801 ± 0.053,0.684 ± 0.040,0.704 ± 0.059,0.725 ± 0.208,0.735 ± 0.197,0.687 ± 0.073,0.672 ± 0.206,5.600 ± 2.608
SVM_Linear,0.749 ± 0.114,0.799 ± 0.041,0.647 ± 0.093,0.670 ± 0.033,0.649 ± 0.181,0.794 ± 0.195,0.680 ± 0.128,0.547 ± 0.170,5.600 ± 2.608
KNN,0.740 ± 0.140,0.788 ± 0.068,0.566 ± 0.092,0.595 ± 0.099,0.590 ± 0.177,0.720 ± 0.191,0.615 ± 0.097,0.469 ± 0.191,5.600 ± 2.608
RandomForest,0.717 ± 0.114,0.773 ± 0.056,0.634 ± 0.074,0.655 ± 0.065,0.651 ± 0.173,0.715 ± 0.237,0.643 ± 0.123,0.594 ± 0.184,5.600 ± 2.608
NaiveBayes,0.709 ± 0.086,0.737 ± 0.168,0.655 ± 0.052,0.660 ± 0.042,0.698 ± 0.207,0.622 ± 0.142,0.630 ± 0.127,0.699 ± 0.188,5.600 ± 2.608
GradientBoosting,0.692 ± 0.129,0.741 ± 0.032,0.601 ± 0.110,0.624 ± 0.129,0.621 ± 0.159,0.692 ± 0.233,0.620 ± 0.121,0.556 ± 0.187,5.600 ± 2.608
LightGBM,0.681 ± 0.067,0.722 ± 0.117,0.621 ± 0.084,0.632 ± 0.101,0.625 ± 0.172,0.739 ± 0.231,0.644 ± 0.129,0.525 ± 0.226,5.600 ± 2.608
XGBoost,0.661 ± 0.109,0.699 ± 0.085,0.535 ± 0.101,0.573 ± 0.061,0.575 ± 0.173,0.645 ± 0.269,0.558 ± 0.136,0.502 ± 0.211,5.600 ± 2.608
