,SVM_RBF,ExtraTrees,LogisticRegression,SVM_Linear,KNN,RandomForest,NaiveBayes,GradientBoosting,LightGBM,XGBoost
SVM_RBF,0.0,0.27215199829817344,-1.0722989933557066,-0.31158160349477154,1.2819158022504706,1.4115661744905657,0.9087512423937533,2.4767200213963374,1.8723031422413827,2.6916043755103174
ExtraTrees,-0.27215199829817344,0.0,-0.9214830603882631,-0.4543939706873551,1.2598024864350743,1.7262940618248586,0.8424597087504022,2.3437118702751665,2.0078065190311714,2.7778008049538725
LogisticRegression,1.0722989933557066,0.9214830603882631,0.0,0.4818655499644644,1.5310220555798728,1.9749015085636934,1.2434922530587575,2.8855730760179377,2.17859893718294,2.9815506634968534
SVM_Linear,0.31158160349477154,0.4543939706873551,-0.4818655499644644,0.0,1.3787940509213403,1.5356664268044993,1.012076836753954,2.4152416044607365,1.8543589384999928,2.649254857740974
KNN,-1.2819158022504706,-1.2598024864350743,-1.5310220555798728,-1.3787940509213403,0.0,-0.43734820352709347,-0.568678720478411,0.38681193130368313,0.2366744078439293,1.401726490421708
RandomForest,-1.4115661744905657,-1.7262940618248586,-1.9749015085636934,-1.5356664268044993,0.43734820352709347,0.0,-0.3276996487527179,1.1601916679246416,0.968564827749466,2.1174958391865664
NaiveBayes,-0.9087512423937533,-0.8424597087504022,-1.2434922530587575,-1.012076836753954,0.568678720478411,0.3276996487527179,0.0,1.150658181758989,0.9925547513936139,1.7118395904689618
GradientBoosting,-2.4767200213963374,-2.3437118702751665,-2.8855730760179377,-2.4152416044607365,-0.38681193130368313,-1.1601916679246416,-1.150658181758989,0.0,-0.2533714792312259,0.787076240667545
LightGBM,-1.8723031422413827,-2.0078065190311714,-2.17859893718294,-1.8543589384999928,-0.2366744078439293,-0.968564827749466,-0.9925547513936139,0.2533714792312259,0.0,0.9838333580343075
XGBoost,-2.6916043755103174,-2.7778008049538725,-2.9815506634968534,-2.649254857740974,-1.401726490421708,-2.1174958391865664,-1.7118395904689618,-0.787076240667545,-0.9838333580343075,0.0
