Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
XGBoost,0.6608,+0.1005,7.11e-03,3.20e-01,✓,✗
LightGBM,0.6814,+0.0800,6.12e-02,1.00e+00,✗,✗
GradientBoosting,0.6925,+0.0689,1.33e-02,5.97e-01,✓,✗
NaiveBayes,0.7088,+0.0525,3.63e-01,1.00e+00,✗,✗
RandomForest,0.7173,+0.0440,1.58e-01,1.00e+00,✗,✗
KNN,0.7404,+0.0209,2.00e-01,1.00e+00,✗,✗
SVM_Linear,0.7491,+0.0122,7.55e-01,1.00e+00,✗,✗
LogisticRegression,0.7516,+0.0097,2.84e-01,1.00e+00,✗,✗
ExtraTrees,0.7571,+0.0042,7.86e-01,1.00e+00,✗,✗
