,LogisticRegression,SVM_RBF,SVM_Linear,GradientBoosting,KNN,ExtraTrees,NaiveBayes,RandomForest,LightGBM,XGBoost
LogisticRegression,0.0,0.17251340988045705,1.0992580843148079,0.6826443468818769,1.3646863999577936,2.0577739283456156,3.262261795278955,2.193866298587719,2.9174543494405514,2.9055273074140935
SVM_RBF,-0.17251340988045705,0.0,0.5823359240315601,0.6351435920308425,1.4268621521096516,2.0884040724073922,3.11531929760552,2.3800644202523924,2.877181463011601,2.9789469963835016
SVM_Linear,-1.0992580843148079,-0.5823359240315601,0.0,0.39852540418219656,1.0069472237822406,1.7637501812502712,2.8996795583043387,1.8607574449186264,2.5896008789546348,2.6676098116239126
GradientBoosting,-0.6826443468818769,-0.6351435920308425,-0.39852540418219656,0.0,0.30722334829209497,1.0447780714943036,2.0253223394838167,1.3596512671029661,2.222616961302522,2.2007618439359478
KNN,-1.3646863999577936,-1.4268621521096516,-1.0069472237822406,-0.30722334829209497,0.0,0.8848265453315978,2.3473589710220244,0.986634031451287,1.8331881769785854,1.9348876062048452
ExtraTrees,-2.0577739283456156,-2.0884040724073922,-1.7637501812502712,-1.0447780714943036,-0.8848265453315978,0.0,1.451989935561051,0.13552210706880352,1.515043416259275,1.2522082673712023
NaiveBayes,-3.262261795278955,-3.11531929760552,-2.8996795583043387,-2.0253223394838167,-2.3473589710220244,-1.451989935561051,0.0,-1.379180142724556,-0.34775259757524674,-0.4325304158331298
RandomForest,-2.193866298587719,-2.3800644202523924,-1.8607574449186264,-1.3596512671029661,-0.986634031451287,-0.13552210706880352,1.379180142724556,0.0,1.506254615059131,1.4567797895273396
LightGBM,-2.9174543494405514,-2.877181463011601,-2.5896008789546348,-2.222616961302522,-1.8331881769785854,-1.515043416259275,0.34775259757524674,-1.506254615059131,0.0,-0.08611012920855483
XGBoost,-2.9055273074140935,-2.9789469963835016,-2.6676098116239126,-2.2007618439359478,-1.9348876062048452,-1.2522082673712023,0.4325304158331298,-1.4567797895273396,0.08611012920855483,0.0
