Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.806 ± 0.064,0.844 ± 0.091,0.728 ± 0.079,0.720 ± 0.066,0.757 ± 0.069,0.756 ± 0.160,0.746 ± 0.092,0.684 ± 0.134,7.600 ± 5.899
SVM_Linear,0.788 ± 0.088,0.841 ± 0.082,0.718 ± 0.079,0.710 ± 0.071,0.764 ± 0.060,0.722 ± 0.165,0.731 ± 0.089,0.698 ± 0.151,7.600 ± 5.899
LogisticRegression,0.783 ± 0.088,0.839 ± 0.063,0.708 ± 0.085,0.706 ± 0.082,0.751 ± 0.065,0.727 ± 0.150,0.729 ± 0.080,0.684 ± 0.134,7.600 ± 5.899
GradientBoosting,0.762 ± 0.034,0.773 ± 0.090,0.721 ± 0.091,0.710 ± 0.068,0.752 ± 0.092,0.717 ± 0.185,0.725 ± 0.124,0.703 ± 0.117,7.600 ± 5.899
ExtraTrees,0.740 ± 0.066,0.790 ± 0.124,0.666 ± 0.089,0.665 ± 0.088,0.710 ± 0.122,0.674 ± 0.145,0.683 ± 0.108,0.655 ± 0.122,7.600 ± 5.899
KNN,0.737 ± 0.108,0.764 ± 0.111,0.709 ± 0.082,0.706 ± 0.071,0.785 ± 0.070,0.660 ± 0.176,0.705 ± 0.105,0.751 ± 0.155,7.600 ± 5.899
RandomForest,0.727 ± 0.106,0.756 ± 0.140,0.633 ± 0.100,0.613 ± 0.092,0.670 ± 0.137,0.652 ± 0.215,0.645 ± 0.150,0.574 ± 0.249,7.600 ± 5.899
NaiveBayes,0.714 ± 0.166,0.789 ± 0.073,0.553 ± 0.126,0.548 ± 0.140,0.612 ± 0.152,0.763 ± 0.231,0.643 ± 0.112,0.333 ± 0.357,7.600 ± 5.899
XGBoost,0.692 ± 0.070,0.758 ± 0.130,0.620 ± 0.100,0.592 ± 0.119,0.640 ± 0.174,0.668 ± 0.169,0.649 ± 0.154,0.516 ± 0.249,7.600 ± 5.899
LightGBM,0.678 ± 0.084,0.727 ± 0.132,0.592 ± 0.031,0.584 ± 0.055,0.645 ± 0.135,0.593 ± 0.097,0.610 ± 0.086,0.574 ± 0.175,7.600 ± 5.899
