,SVM_RBF,SVM_Linear,LogisticRegression,GradientBoosting,ExtraTrees,KNN,RandomForest,NaiveBayes,XGBoost,LightGBM
SVM_RBF,1.0,0.11975994220993616,0.4525418233925754,0.4997316619586558,0.007115623335340858,0.050252949293611404,0.05234996907791258,8.747634592670024e-05,0.011489818369165853,0.0025709049224652116
SVM_Linear,0.11975994220993616,1.0,0.5730710169273376,0.9123397409139575,0.07545689018671015,0.25386645436816224,0.23685196497378502,0.00034154814736316936,0.04577640653834628,0.014756745668286
LogisticRegression,0.4525418233925754,0.5730710169273376,1.0,0.7580280426437627,0.05581718684126722,0.19637907155819545,0.174439254426751,0.00011096755243797051,0.03282121311122662,0.007115245476439438
GradientBoosting,0.4997316619586558,0.9123397409139575,0.7580280426437627,1.0,0.21188883324179475,0.3601812662894902,0.20015090576816363,0.006801891679246456,0.05485553002748449,0.01927369040567549
ExtraTrees,0.007115623335340858,0.07545689018671015,0.05581718684126722,0.21188883324179475,1.0,0.6702341914274854,0.7798216889477908,0.03771533247655893,0.4026756798772688,0.1964306260149632
KNN,0.050252949293611404,0.25386645436816224,0.19637907155819545,0.3601812662894902,0.6702341914274854,1.0,0.8971813458841588,0.011289716172749932,0.3518198007595179,0.1437381553956327
RandomForest,0.05234996907791258,0.23685196497378502,0.174439254426751,0.20015090576816363,0.7798216889477908,0.8971813458841588,1.0,0.03215925713075261,0.2616487739547939,0.11019557412998672
NaiveBayes,8.747634592670024e-05,0.00034154814736316936,0.00011096755243797051,0.006801891679246456,0.03771533247655893,0.011289716172749932,0.03215925713075261,1.0,0.17695857752456268,0.28769856341264854
XGBoost,0.011489818369165853,0.04577640653834628,0.03282121311122662,0.05485553002748449,0.4026756798772688,0.3518198007595179,0.2616487739547939,0.17695857752456268,1.0,0.5701124743311055
LightGBM,0.0025709049224652116,0.014756745668286,0.007115245476439438,0.01927369040567549,0.1964306260149632,0.1437381553956327,0.11019557412998672,0.28769856341264854,0.5701124743311055,1.0
