Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.6778,+0.1282,2.57e-03,1.16e-01,✓,✗
XGBoost,0.6922,+0.1138,1.15e-02,5.17e-01,✓,✗
NaiveBayes,0.7137,+0.0923,8.75e-05,3.94e-03,✓,✓
RandomForest,0.7266,+0.0794,5.23e-02,1.00e+00,✗,✗
KNN,0.7373,+0.0687,5.03e-02,1.00e+00,✗,✗
ExtraTrees,0.7398,+0.0663,7.12e-03,3.20e-01,✓,✗
GradientBoosting,0.7619,+0.0441,5.00e-01,1.00e+00,✗,✗
LogisticRegression,0.7832,+0.0229,4.53e-01,1.00e+00,✗,✗
SVM_Linear,0.7881,+0.0179,1.20e-01,1.00e+00,✗,✗
