Method,N,Mean,Median,Maximum
Corr. → mRMR,31,0.6936148601018247,0.6975435729847493,0.7868253968253968
EN → mRMR,31,0.7536243617460725,0.7602579365079365,0.8364682539682541
mRMR → EN,31,0.736299317372723,0.7469413320883909,0.7928289387380296
