Single_Tag,Dataset,Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Source_Configuration,Fusion_Level,Method,USE_SMOTE_BOOL,Selected_SMOTE_Condition,Pair_Tag,Dataset_A,Dataset_B,Triple_Tag,Dataset_C,Quad_Tag,Dataset_D,All5_Tag,Dataset_E
ADC,ADC,SVM_Linear,0.7641100685598292,0.0801971311881608,0.6912499999999999,0.6912499999999999,0.6867497691597414,0.7985308324026308,0.1185962108375108,0.7204339314980122,0.6801937193241541,0.0839134629476066,0.6754385964912281,0.6926427811954128,0.05713531167767,0.6825,0.7483838383838384,0.091252102605784,0.7547169811320755,0.6434024455077086,0.1906890365706958,0.625,0.670807453416149,0.1175532091965165,0.6837606837606838,0.7418831168831169,0.090753061318699,0.74,0.3671952265582782,0.1311475761912005,0.3564235581324382,0.2293934447164728,8.8,8.8,4.48998886412873,4,6.0,16,0.5630264173765345,0.8094810383649268,0.5129797338492005,0.8942199603487767,0.5809347442680777,0.7647186700767262,0.5845154288130346,0.7753674654150198,0.5555555555555556,0.9032258064516128,0.4772727272727273,0.7605633802816901,0.5332978723404256,0.7968779370300751,0.6041568396226414,0.8695853462157809,0.1645929048345405,0.5252560005174793,0.1888191243243204,0.2739833747882537,2000.0,2000.0,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,29,4,1.5172413793103448,ADC,Single,mRMR → EN,True,SMOTE,,,,,,,,,
ADC,ADC,LogisticRegression,0.7615227462595884,0.0720935705743265,0.7150000000000001,0.7150000000000001,0.7090643274853803,0.8155175810177987,0.0810714275669487,0.7583947247864167,0.696581679190375,0.079317873916928,0.6929824561403509,0.7135951621477937,0.0529431457371122,0.698125,0.7659632034632035,0.1313509105145326,0.7636363636363637,0.6749175970228601,0.2200964190584582,0.65625,0.6862604540023896,0.1263588937547808,0.7058823529411765,0.7522727272727272,0.1448456320246515,0.74,0.4014222183296055,0.1206255254433572,0.3885994483604046,0.2165469234771746,8.8,8.8,4.48998886412873,4,6.0,16,0.5923779761904763,0.8323354694597604,0.5592929443285953,0.9068368154660948,0.5999621212121212,0.782955426356589,0.6028215600552232,0.7898444538484714,0.5681818181818182,0.90625,0.5,0.7857435597189694,0.5541772352568168,0.8079470198675497,0.6071282201405152,0.8775819418676559,0.1986591593162693,0.5574876072936431,0.1780522899980122,0.2580136619054242,2000.0,2000.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.5172413793103448,ADC,Single,mRMR → EN,False,No SMOTE,,,,,,,,,
ADC,ADC,LightGBM,0.760117545930943,0.0597821534628532,0.7264062499999999,0.7264062499999999,0.7270698676515851,0.8170835685540055,0.0336658359289767,0.7662347457752754,0.6747281703803443,0.1123757236352502,0.6666666666666666,0.685038353459406,0.0873680849007979,0.6637500000000001,0.709018759018759,0.0519759024269532,0.7096774193548387,0.7332801701222753,0.1968780182403581,0.6875,0.700552995391705,0.1099513203743807,0.6984126984126984,0.6367965367965367,0.0728045353356192,0.64,0.3616863873227145,0.1782406593838561,0.326073428749222,0.2382937793686895,13.2,13.2,6.013318551349164,4,18.0,18,0.6069191384180791,0.8362663361540408,0.5829719790069027,0.894268174623126,0.56,0.7685978523640861,0.5585294913419914,0.7655145777551107,0.5115823073415414,0.8594184027777776,0.528288784067086,0.8292682926829268,0.5453984287317621,0.8082191780821918,0.4864566772655008,0.7954661410018552,0.1157715877252936,0.521163365972486,0.1724961875679664,0.3063824087473557,2000.0,2000.0,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,5,2.4444444444444446,ADC,Single,EN → mRMR,True,SMOTE,,,,,,,,,
ADC,ADC,LogisticRegression,0.7476682178356819,0.0258476812524649,0.7031249999999999,0.703125,0.7028316405047708,0.801916945770375,0.0770167720699189,0.7643530765409321,0.6747281703803443,0.1086363520261722,0.6666666666666666,0.6892703349282296,0.0527157517678215,0.6725,0.7777777777777778,0.1152024519629318,0.7407407407407407,0.6611164274322169,0.2305988989591794,0.625,0.6692650486768134,0.1335783557079134,0.6779661016949152,0.7174242424242425,0.225187402825257,0.72,0.3656792358794646,0.130727854451685,0.3376146788990825,0.2208769056061319,12.0,12.0,2.8284271247461903,8,12.0,16,0.5826547050017729,0.8155176780554139,0.5786957893744074,0.898614243661702,0.5624851190476191,0.7674663402692777,0.5651980676328503,0.7716950252371454,0.5428450363196126,0.887102453430259,0.4515470704410798,0.783797032326444,0.5160970935803258,0.7964601769911505,0.5660377358490566,0.8541666666666666,0.1252250084597907,0.5319844186421716,0.1904859271042101,0.2520264976569248,2000.0,2000.0,corr_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,36,4,1.6666666666666667,ADC,Single,Corr. → mRMR,False,No SMOTE,,,,,,,,,
ADC,ADC,LogisticRegression,0.7319497550119559,0.0322039837859944,0.6959375,0.6959375,0.6914435210834102,0.7959089707445981,0.0772844821379999,0.7577951630439883,0.6728966685488424,0.0872211392397096,0.6666666666666666,0.688977937267411,0.042304116947326,0.6681250000000001,0.755050505050505,0.1288423335064109,0.7241379310344828,0.6938649654439129,0.2167836267088103,0.65625,0.6807552447552447,0.1097040462847997,0.6885245901639344,0.6840909090909091,0.2177763488268556,0.68,0.3583096336858811,0.1054889137232557,0.3318938926588525,0.2264226410946716,12.0,12.0,2.8284271247461903,8,12.0,16,0.5795261121856867,0.8102078913136822,0.5688948520666914,0.8928149800908852,0.5677843872229466,0.7672603448275861,0.5669840525345512,0.7696898149050249,0.5348837209302325,0.875,0.5,0.8,0.5433528428093647,0.8028319489587095,0.52,0.8333333333333334,0.1318523823096343,0.521978021978022,0.1935063765389161,0.2596530730385123,2000.0,2000.0,corr_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,36,4,1.6666666666666667,ADC,Single,Corr. → mRMR,True,SMOTE,,,,,,,,,
ADC,ADC,KNN,0.7280579778187433,0.0409438131181458,0.6682812499999999,0.6682812499999999,0.6717836257309941,0.7449253760836461,0.0838948952588915,0.6994266065318107,0.6710651667173405,0.0757078609977509,0.6666666666666666,0.680983519404572,0.0553721866928664,0.6659375000000001,0.7455555555555555,0.1417004317060432,0.7166666666666667,0.7013609782030834,0.1850259256661023,0.671875,0.6875244968608814,0.0869526757338235,0.6935483870967742,0.6606060606060606,0.2530529839226882,0.66,0.3403553385877632,0.1145827089279425,0.328996282527881,0.2362243250528799,13.2,13.2,6.013318551349164,4,18.0,18,0.541227224820975,0.7828741083135614,0.5039686480608526,0.8488612429039116,0.5679949152542373,0.7631698564593301,0.5677495566677175,0.7614452764976958,0.5161164314516129,0.8636363636363636,0.5205150158061117,0.8048949864498645,0.5390930341280973,0.8,0.508764495985727,0.8035801820728291,0.1325099519923822,0.5116004319884235,0.186688127218246,0.2889627281902114,2000.0,2000.0,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,5,2.4444444444444446,ADC,Single,EN → mRMR,False,No SMOTE,,,,,,,,,
Post1,Post1,KNN,0.7672478991596638,0.0981678212557853,0.7647235576923077,0.7647235576923077,0.7552021403091559,0.798354315666422,0.0593865832746101,0.8150282786635179,0.6953162583307189,0.0717818685705607,0.6982758620689655,0.6785504201680672,0.0619946005006717,0.7049278846153846,0.7328937728937729,0.1191577737762933,0.7735849056603774,0.5701960784313725,0.2113518124354783,0.640625,0.6263520871143375,0.1497128817448793,0.7008547008547008,0.7869047619047619,0.0898404285114007,0.7692307692307693,0.3508181577907242,0.1279307164182672,0.4018856806128462,0.2032202478692626,7.2,7.2,3.249615361854384,4,6.0,12,0.6231489621427576,0.8938508371385083,0.65612403312556,0.9185721628464788,0.5726495726495726,0.8114855542931342,0.5878070615796519,0.8132009454488198,0.574468085106383,0.9090909090909092,0.4467990121580547,0.8235294117647058,0.5262892078681553,0.8271821184241566,0.6515151515151515,0.8837209302325582,0.1690169631760046,0.6151013140156157,0.1597288941567193,0.2500363492063492,2000.0,2000.0,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294,Post1,Single,EN → mRMR,True,SMOTE,,,,,,,,,
Post1,Post1,KNN,0.743167211328976,0.1003434110195496,0.7433894230769231,0.7433894230769231,0.7484393579072534,0.7650054883197297,0.0869151581647344,0.7959809455319256,0.6704648089520169,0.0612553418993951,0.6810344827586207,0.6684290382819794,0.0586526620751722,0.6748798076923077,0.6597619047619048,0.1522067456587791,0.7014925373134329,0.703921568627451,0.1409038762605622,0.734375,0.6675019272186857,0.1168848534820607,0.7175572519083969,0.6329365079365079,0.1140898895496672,0.6153846153846154,0.31960305369152,0.1137869247463396,0.3516616314199395,0.2040961470795214,7.2,7.2,3.249615361854384,4,6.0,12,0.5968218039772728,0.8719275502656508,0.6232110409911648,0.90725166453228,0.5481463675213676,0.803575600801068,0.5484050071959921,0.7948321840698003,0.5,0.8607594936708861,0.5576844262295082,0.9062681686046512,0.5555555555555556,0.8372093023255814,0.4629629629629629,0.7777777777777778,0.0958749190194071,0.587931964696449,0.1650945273885284,0.245596478801271,2000.0,2000.0,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,5,2.1176470588235294,Post1,Single,EN → mRMR,False,No SMOTE,,,,,,,,,
Post1,Post1,SVM_RBF,0.6986655773420478,0.1263287252372711,0.6406250000000001,0.640625,0.6248885255648038,0.7841293516827197,0.0134633936367049,0.7059368539662991,0.5791144956884667,0.0474785748300651,0.5862068965517241,0.6016339869281045,0.0552968795181622,0.5691105769230769,0.6033678955453149,0.1498089059809599,0.6025641025641025,0.7588235294117647,0.2041100185046761,0.734375,0.6301470588235294,0.0767215590059366,0.6619718309859155,0.4444444444444445,0.2587958821967137,0.4038461538461538,0.1722226689683251,0.0879063258963031,0.1418002466091245,0.2384428283467704,12.0,12.0,4.1952353926806065,4,14.0,16,0.5079761032405146,0.7705479040020262,0.5458207725359037,0.8438642368460746,0.4485981308411215,0.7174252717391302,0.4475581333867937,0.6895041854513794,0.4062288851351351,0.7692307692307693,0.5625,0.8909767891682782,0.4915100154083205,0.782608695652174,0.2238805970149253,0.5854142469996125,-0.1036465755195485,0.3804840839771422,0.2124203444109328,0.2665661824692271,2000.0,2000.0,corr_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,29,5,2.068965517241379,Post1,Single,Corr. → mRMR,False,No SMOTE,,,,,,,,,
Post1,Post1,XGBoost,0.6584889511360099,0.0504314803085377,0.6754807692307693,0.6754807692307692,0.6793995243757431,0.7035892026889469,0.1194469664805791,0.6985680304154177,0.6261468107964214,0.0296842513242944,0.6206896551724138,0.6206349206349207,0.0248138844671897,0.6183894230769231,0.6365656565656566,0.124800175314915,0.6612903225806451,0.6333333333333333,0.1264059722453819,0.640625,0.6173463069438302,0.0859649219389526,0.6507936507936508,0.6079365079365079,0.1433281477027813,0.5961538461538461,0.226442308588772,0.0272848693458175,0.2359281437125748,0.2553259120855556,12.0,12.0,6.572670690061994,4,16.0,18,0.5482647646069778,0.7986134752263785,0.5228069154386041,0.8673197121121635,0.5145631067961165,0.7289768302180685,0.5158736345580933,0.7252596607350896,0.4545454545454545,0.8125208333333332,0.4657475200755786,0.8133703703703702,0.4864738570346048,0.7731613575662821,0.4651162790697674,0.7307692307692307,0.0318484426330363,0.4450248965726801,0.1862539408956752,0.3297125359138772,2000.0,2000.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,38,4,1.5789473684210529,Post1,Single,mRMR → EN,False,No SMOTE,,,,,,,,,
