feature,variance,log10_variance
Pre_GLSZM_SmallZoneEmphasis,0.010220481163128802,-1.99052865782097
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.010406606208254178,-1.982690879029481
Post1_IH_Uniformity_Intensity,0.010771359905706676,-1.9677294626542188
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0.010947715616703891,-1.960676492524798
Pre_GLCM_Correlation,0.01117505002714013,-1.9517505239547226
T2_GLSZM_ZonePercentage,0.011423452410697478,-1.9422026231692595
Post2_GLSZM_SmallZoneEmphasis,0.011536316400171723,-1.937932841269014
Post2_GLCM_JointMaximum,0.01166708611674072,-1.93303759648262
T2_GLCM_InverseVariance,0.011741754825115304,-1.9302669921560112
Post1_GLSZM_SmallZoneEmphasis,0.012400434635701077,-1.9065630924980201
Post1_GLCM_JointMaximum,0.012800947673489637,-1.8927578776516214
Post1_GLCM_Correlation,0.01298798854987446,-1.8864581028835967
Post2_GLRLM_LowGreyLevelRunEmphasis,0.01299459234916132,-1.8862373400838917
Post2_GLCM_Correlation,0.01312165956210957,-1.8820112340517334
T2_Morph_Compactness2,0.013271532616666451,-1.877078921222887
Pre_Morph_Compactness2,0.013271532616666451,-1.877078921222887
Post2_Morph_Compactness2,0.013271532616666451,-1.877078921222887
Post1_Morph_Compactness2,0.013305094948204496,-1.8759820218440137
T2_GLSZM_NormalisedZoneSizeNonUniformity,0.014789789090048112,-1.8300380191908756
Post1_GLRLM_LowGreyLevelRunEmphasis,0.014985082462506976,-1.8243408627718902
T2_GLSZM_SmallZoneEmphasis,0.015090477825724029,-1.8212970084534301
T2_GLRLM_ShortRunsEmphasis,0.016486506253876074,-1.7828713683086828
Pre_GLCM_InverseDifference,0.016682601376811435,-1.7777362273229687
T2_GLRLM_RunPercentage,0.01744788492969264,-1.7582572116046205
Post2_GLCM_InverseDifference,0.0195718232456378,-1.7083687150128803
Post2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.01965876638198881,-1.7064437382775375
Post1_GLCM_InverseDifference,0.01972059174744783,-1.7050800574866039
Post1_GLSZM_ZonePercentage,0.020895607723289956,-1.679944993390059
Pre_GLSZM_ZonePercentage,0.021166659984849102,-1.674347666503718
T2_GLSZM_NormalisedGreyLevelNonUniformity,0.02153781671373437,-1.6667983231736239
Pre_GLCM_InverseDifferenceMoment,0.021607251157752798,-1.6654004798784054
T2_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.02163567814615782,-1.66482948775655
T2_GLSZM_LowGrayLevelZoneEmphasis,0.022353586427777298,-1.6506527883587832
Post2_GLSZM_ZonePercentage,0.0226054286187561,-1.6457872539280662
T2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.022771145803983008,-1.6426151158819307
Post2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.02306315376398246,-1.6370813054941495
T2_GLCM_InverseDifference,0.023914730146092737,-1.621334515326818
Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.02424702351539075,-1.6153415663295805
T2_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.024266484980176736,-1.6149931269987037
Pre_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.024387964963749224,-1.6128244375482237
Post2_GLCM_InverseDifferenceMoment,0.024666404373611884,-1.6078941530669708
Post1_GLCM_InverseDifferenceMoment,0.025795582524990538,-1.5884546602711265
Post2_Morph_SphericalDisproportion,0.026586504597256776,-1.5753387568194221
T2_Morph_SphericalDisproportion,0.026586504597256776,-1.5753387568194221
Pre_Morph_SphericalDisproportion,0.026586504597256776,-1.5753387568194221
Post2_Morph_Asphericity,0.026586504597256783,-1.575338756819422
T2_Morph_Asphericity,0.026586504597256783,-1.575338756819422
Pre_Morph_Asphericity,0.026586504597256783,-1.575338756819422
Post1_Morph_Asphericity,0.0266144673470176,-1.574882221211368
Post1_Morph_SphericalDisproportion,0.026614467347017605,-1.574882221211368
Pre_IB_IntensityBasedQuartileCoefficientOfDispersion,0.02679486526323995,-1.5719484224287001
Post1_IB_IntensityBasedQuartileCoefficientOfDispersion,0.02738363502747678,-1.562508902147088
T2_NGTDM_Contrast,0.027488828967317934,-1.5608437608269632
T2_GLCM_Correlation,0.028499901096256205,-1.5451566471139602
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.029178065140619467,-1.534943510461014
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03148363521343481,-1.5019151282055472
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03162905397176595,-1.4999137976685883
T2_GLCM_InverseDifferenceMoment,0.03185105912251833,-1.4968761217634186
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03213073697778275,-1.4930793129748454
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03344800990529104,-1.4756297168327046
Post2_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.0334836973362629,-1.4751665923599722
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.03354071231147542,-1.4744277184117298
T2_GLRLM_LowGreyLevelRunEmphasis,0.033779213935097585,-1.4713504609576482
T2_IB_IntensityBasedCoefficientOfVariation,0.03438369478143811,-1.4636474569855786
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.03455696745139187,-1.4614643760449422
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.03730586508181349,-1.4282228847365406
T2_GLCM_AngularSecondMoment,0.03734590856779276,-1.4277569703767274
T2_IH_Uniformity_Intensity,0.03736888508401186,-1.4274898592991512
Post1_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.0389235067563878,-1.4097880395039903
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.038951271992165644,-1.4094783554344759
T2_GLCM_JointMaximum,0.04217994329912027,-1.374894008391256
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.04495592380470901,-1.3472130735275463
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.04788245297961679,-1.3198236091290778
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.049374366024670144,-1.3064984677365368
Post2_IB_IntensityBasedCoefficientOfVariation,0.051204104129091994,-1.2906952278988133
Pre_IH_IntensityHistogramCoefficientOfVariation_Intensity,0.05197035253488316,-1.2842443371723407
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.0555726965222318,-1.2551385296722872
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.05561566458702027,-1.2548028687419863
