Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
SVM_RBF,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
SVM_Linear,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
RandomForest,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
GradientBoosting,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
ExtraTrees,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
KNN,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
NaiveBayes,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
XGBoost,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
LightGBM,corr_mrmr_then_elasticnet,5,14.0,0.0,14,14,"[np.int64(14), np.int64(14), np.int64(14), np.int64(14), np.int64(14)]"
