Pair,Output_File,n_common_roi,n_label_mismatches_random_resolved_in_pair,n_samples_final,n_patients_final,n_features_final,class_0,class_1,Path
Pre+Post1,Pre_Post1_M1_pairwise_random_label.csv,116,0,116,48,290,53,63,./output/pairwise_datasets_random_label_resolution/Pre_Post1_M1_pairwise_random_label.csv
Pre+Post2,Pre_Post2_M1_pairwise_random_label.csv,117,1,117,48,290,53,64,./output/pairwise_datasets_random_label_resolution/Pre_Post2_M1_pairwise_random_label.csv
Pre+T2,Pre_T2_M1_pairwise_random_label.csv,117,4,117,48,290,53,64,./output/pairwise_datasets_random_label_resolution/Pre_T2_M1_pairwise_random_label.csv
Pre+ADC,Pre_ADC_M1_pairwise_random_label.csv,114,0,114,48,289,51,63,./output/pairwise_datasets_random_label_resolution/Pre_ADC_M1_pairwise_random_label.csv
Post1+Post2,Post1_Post2_M1_pairwise_random_label.csv,116,1,116,48,290,53,63,./output/pairwise_datasets_random_label_resolution/Post1_Post2_M1_pairwise_random_label.csv
Post1+T2,Post1_T2_M1_pairwise_random_label.csv,116,4,116,48,290,53,63,./output/pairwise_datasets_random_label_resolution/Post1_T2_M1_pairwise_random_label.csv
Post1+ADC,Post1_ADC_M1_pairwise_random_label.csv,113,0,113,48,289,51,62,./output/pairwise_datasets_random_label_resolution/Post1_ADC_M1_pairwise_random_label.csv
Post2+T2,Post2_T2_M1_pairwise_random_label.csv,117,5,117,48,290,53,64,./output/pairwise_datasets_random_label_resolution/Post2_T2_M1_pairwise_random_label.csv
Post2+ADC,Post2_ADC_M1_pairwise_random_label.csv,114,1,114,48,289,51,63,./output/pairwise_datasets_random_label_resolution/Post2_ADC_M1_pairwise_random_label.csv
T2+ADC,T2_ADC_M1_pairwise_random_label.csv,114,4,114,48,289,51,63,./output/pairwise_datasets_random_label_resolution/T2_ADC_M1_pairwise_random_label.csv
